	empirical_pVal (A375)	empirical_pVal (A549)	empirical_pVal (BT20)	empirical_pVal (LNCAP)	empirical_pVal (MCF7)	empirical_pVal (MDAMB231)	empirical_pVal (PC3)	Ave_pVal
ZWILCH	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
C17ORF42	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MCM6	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
CDC25A	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TIPIN	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TUBG1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
GINS3	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
ABCE1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
C1ORF135	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
PRIM1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
SNRPA1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TYMS	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
SRSF2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MCM5	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MCM4	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
SRSF3	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MCM3	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
CLN6	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MCM10	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
DCLRE1B	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MCM2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
NIP7	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
POLA2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
CDC6	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
SNRNP40	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
ASF1B	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
PUS7L	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
NUP205	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1.14285714286e-05
LBR	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
GPN3	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1.14285714286e-05
PA2G4	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
LETM1	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
PSMA3	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
POP7	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1.14285714286e-05
CDT1	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
BARD1	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
ORC2	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
VRK1	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
MRPL39	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
CHRNA5	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
DCLRE1A	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1.14285714286e-05
NUDT1	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
NUP155	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1.14285714286e-05
DBF4	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
SUV39H1	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1.14285714286e-05
RPA2	1e-05	1e-05	3e-05	1e-05	1e-05	1e-05	1e-05	1.28571428571e-05
LCMT2	1e-05	1e-05	1e-05	1e-05	1e-05	3e-05	1e-05	1.28571428571e-05
MCMBP	1e-05	1e-05	3e-05	1e-05	1e-05	1e-05	1e-05	1.28571428571e-05
SFMBT1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	3e-05	1.28571428571e-05
RECQL4	1e-05	1e-05	3e-05	1e-05	1e-05	1e-05	1e-05	1.28571428571e-05
DNAJC9	1e-05	1e-05	3e-05	1e-05	1e-05	1e-05	1e-05	1.28571428571e-05
NUP160	1e-05	1e-05	3e-05	1e-05	1e-05	1e-05	1e-05	1.28571428571e-05
SRPRB	1e-05	1e-05	1e-05	1e-05	1e-05	3e-05	1e-05	1.28571428571e-05
USP1	1e-05	1e-05	3e-05	1e-05	1e-05	1e-05	1e-05	1.28571428571e-05
SFXN1	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	2e-05	1.28571428571e-05
VBP1	1e-05	1e-05	1e-05	3e-05	1e-05	1e-05	1e-05	1.28571428571e-05
RPAP3	1e-05	2e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1.28571428571e-05
TATDN2	1e-05	1e-05	1e-05	2e-05	1e-05	2e-05	1e-05	1.28571428571e-05
NIPA2	1e-05	1e-05	2e-05	1e-05	1e-05	2e-05	1e-05	1.28571428571e-05
NUP188	1e-05	1e-05	1e-05	1e-05	1e-05	3e-05	2e-05	1.42857142857e-05
MPHOSPH6	3e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1.42857142857e-05
COPS3	1e-05	1e-05	3e-05	1e-05	1e-05	1e-05	2e-05	1.42857142857e-05
CKS1B	1e-05	1e-05	3e-05	1e-05	1e-05	2e-05	1e-05	1.42857142857e-05
TK1	1e-05	1e-05	4e-05	1e-05	1e-05	1e-05	1e-05	1.42857142857e-05
CDKN3	1e-05	1e-05	4e-05	1e-05	1e-05	1e-05	1e-05	1.42857142857e-05
GATAD2A	1e-05	1e-05	1e-05	3e-05	2e-05	1e-05	1e-05	1.42857142857e-05
PPIH	1e-05	1e-05	1e-05	1e-05	1e-05	4e-05	1e-05	1.42857142857e-05
RFC5	1e-05	1e-05	4e-05	1e-05	1e-05	1e-05	1e-05	1.42857142857e-05
TFDP1	1e-05	1e-05	1e-05	1e-05	1e-05	4e-05	1e-05	1.42857142857e-05
STRA13	1e-05	1e-05	1e-05	3e-05	1e-05	1e-05	2e-05	1.42857142857e-05
COQ2	1e-05	1e-05	4e-05	1e-05	1e-05	1e-05	1e-05	1.42857142857e-05
SHCBP1	1e-05	1e-05	4e-05	1e-05	1e-05	1e-05	1e-05	1.42857142857e-05
COQ3	1e-05	1e-05	1e-05	1e-05	1e-05	4e-05	1e-05	1.42857142857e-05
RPA1	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	3e-05	1.42857142857e-05
SRSF7	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	4e-05	1.42857142857e-05
ARPC5L	1e-05	1e-05	4e-05	1e-05	1e-05	1e-05	1e-05	1.42857142857e-05
PPP3R1	5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.57142857143e-05
GEMIN4	1e-05	1e-05	1e-05	5e-05	1e-05	1e-05	1e-05	1.57142857143e-05
RBM14	1e-05	1e-05	5e-05	1e-05	1e-05	1e-05	1e-05	1.57142857143e-05
PSMD14	1e-05	1e-05	1e-05	2e-05	1e-05	4e-05	1e-05	1.57142857143e-05
FANCI	1e-05	1e-05	5e-05	1e-05	1e-05	1e-05	1e-05	1.57142857143e-05
EXOSC8	1e-05	1e-05	1e-05	5e-05	1e-05	1e-05	1e-05	1.57142857143e-05
DDX39A	1e-05	1e-05	2e-05	1e-05	1e-05	4e-05	2e-05	1.71428571429e-05
ZNF200	1e-05	1e-05	1e-05	1e-05	1e-05	6e-05	1e-05	1.71428571429e-05
PRMT1	1e-05	1e-05	1e-05	6e-05	1e-05	1e-05	1e-05	1.71428571429e-05
XRCC5	1e-05	1e-05	1e-05	5e-05	1e-05	1e-05	2e-05	1.71428571429e-05
WDR76	1e-05	1e-05	6e-05	1e-05	1e-05	1e-05	1e-05	1.71428571429e-05
POLA1	1e-05	1e-05	1e-05	6e-05	1e-05	1e-05	1e-05	1.71428571429e-05
ERH	3e-05	1e-05	1e-05	3e-05	2e-05	1e-05	1e-05	1.71428571429e-05
ACOT7	1e-05	1e-05	6e-05	1e-05	1e-05	1e-05	1e-05	1.71428571429e-05
TMEM33	1e-05	1e-05	6e-05	1e-05	1e-05	1e-05	1e-05	1.71428571429e-05
PDSS1	6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.71428571429e-05
TBP	1e-05	1e-05	2e-05	1e-05	1e-05	3e-05	3e-05	1.71428571429e-05
ICMT	1e-05	1e-05	6e-05	1e-05	1e-05	1e-05	1e-05	1.71428571429e-05
TMX1	1e-05	1e-05	7e-05	1e-05	1e-05	1e-05	1e-05	1.85714285714e-05
LRIF1	1e-05	1e-05	7e-05	1e-05	1e-05	1e-05	1e-05	1.85714285714e-05
RAD54L	1e-05	1e-05	6e-05	1e-05	1e-05	1e-05	2e-05	1.85714285714e-05
NOC4L	1e-05	1e-05	2e-05	6e-05	1e-05	1e-05	1e-05	1.85714285714e-05
CCDC99	1e-05	1e-05	7e-05	1e-05	1e-05	1e-05	1e-05	1.85714285714e-05
AEN	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	7e-05	2e-05
TADA2A	3e-05	1e-05	6e-05	1e-05	1e-05	1e-05	1e-05	2e-05
SRSF10	1e-05	1e-05	6e-05	1e-05	1e-05	1e-05	3e-05	2e-05
POLD3	3e-05	2e-05	5e-05	1e-05	1e-05	1e-05	1e-05	2e-05
TMEM97	8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05
MRPL42	1e-05	1e-05	1e-05	1e-05	1e-05	8e-05	1e-05	2e-05
SIGMAR1	1e-05	5e-05	2e-05	3e-05	1e-05	1e-05	1e-05	2e-05
POLD1	8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05
LRRC20	1e-05	1e-05	1e-05	8e-05	1e-05	1e-05	1e-05	2e-05
MYCBP	1e-05	1e-05	8e-05	1e-05	1e-05	1e-05	1e-05	2e-05
HJURP	1e-05	1e-05	9e-05	1e-05	1e-05	1e-05	1e-05	2.14285714286e-05
ACN9	1e-05	1e-05	8e-05	1e-05	2e-05	1e-05	1e-05	2.14285714286e-05
C11ORF24	1e-05	9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2.14285714286e-05
POLD2	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	8e-05	2.14285714286e-05
DLEU1	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	8e-05	2.14285714286e-05
CSTF2	1e-05	1e-05	1e-05	1e-05	1e-05	0.0001	1e-05	2.28571428571e-05
KIAA0101	1e-05	1e-05	0.0001	1e-05	1e-05	1e-05	1e-05	2.28571428571e-05
POLQ	1e-05	1e-05	6e-05	1e-05	1e-05	6e-05	1e-05	2.42857142857e-05
SAC3D1	1e-05	1e-05	0.00011	1e-05	1e-05	1e-05	1e-05	2.42857142857e-05
MRTO4	1e-05	1e-05	1e-05	1e-05	1e-05	0.00011	1e-05	2.42857142857e-05
BRIX1	1e-05	1e-05	5e-05	4e-05	1e-05	1e-05	4e-05	2.42857142857e-05
PSMD11	1e-05	1e-05	1e-05	1e-05	1e-05	9e-05	3e-05	2.42857142857e-05
POLE2	1e-05	1e-05	0.00012	1e-05	1e-05	1e-05	1e-05	2.57142857143e-05
SRSF1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.00012	2.57142857143e-05
LSM4	1e-05	1e-05	6e-05	1e-05	1e-05	7e-05	1e-05	2.57142857143e-05
C1ORF174	1e-05	1e-05	1e-05	1e-05	1e-05	9e-05	4e-05	2.57142857143e-05
CALM1	2e-05	1e-05	1e-05	0.00011	1e-05	1e-05	1e-05	2.57142857143e-05
DNMT1	4e-05	1e-05	9e-05	1e-05	1e-05	1e-05	1e-05	2.57142857143e-05
GINS4	1e-05	1e-05	8e-05	1e-05	2e-05	5e-05	1e-05	2.71428571429e-05
MELK	1e-05	1e-05	0.00013	1e-05	1e-05	1e-05	1e-05	2.71428571429e-05
ABCF2	1e-05	1e-05	1e-05	5e-05	1e-05	0.0001	1e-05	2.85714285714e-05
POLE	2e-05	1e-05	2e-05	4e-05	1e-05	1e-05	9e-05	2.85714285714e-05
FAM64A	1e-05	1e-05	0.00013	1e-05	1e-05	3e-05	2e-05	3.14285714286e-05
KPNB1	1e-05	1e-05	1e-05	2e-05	1e-05	7e-05	9e-05	3.14285714286e-05
SLC7A6	1e-05	2e-05	4e-05	1e-05	1e-05	0.00012	1e-05	3.14285714286e-05
EIF5A2	1e-05	1e-05	1e-05	0.00015	1e-05	3e-05	1e-05	3.28571428571e-05
URB2	1e-05	1e-05	1e-05	0.00017	1e-05	1e-05	1e-05	3.28571428571e-05
SNRPF	1e-05	1e-05	1e-05	3e-05	1e-05	0.00015	1e-05	3.28571428571e-05
CCNE2	1e-05	1e-05	0.00017	1e-05	1e-05	1e-05	1e-05	3.28571428571e-05
RNF219	2e-05	1e-05	1e-05	1e-05	1e-05	0.00014	3e-05	3.28571428571e-05
INTS7	9e-05	1e-05	4e-05	3e-05	4e-05	1e-05	1e-05	3.28571428571e-05
TMEM38B	4e-05	1e-05	1e-05	1e-05	1e-05	0.00014	1e-05	3.28571428571e-05
C2ORF3	0.0001	1e-05	0.0001	1e-05	1e-05	1e-05	1e-05	3.57142857143e-05
MCM7	0.00019	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	3.57142857143e-05
IPO5	2e-05	0.00016	1e-05	1e-05	1e-05	3e-05	2e-05	3.71428571429e-05
SSRP1	0.00019	1e-05	1e-05	2e-05	1e-05	2e-05	1e-05	3.85714285714e-05
EBP	1e-05	0.0002	1e-05	1e-05	1e-05	1e-05	2e-05	3.85714285714e-05
EIF4A3	1e-05	1e-05	0.00021	1e-05	1e-05	1e-05	1e-05	3.85714285714e-05
TPRKB	3e-05	1e-05	1e-05	1e-05	1e-05	0.0002	1e-05	4e-05
SHQ1	1e-05	1e-05	4e-05	1e-05	1e-05	0.00019	1e-05	4e-05
LRP8	1e-05	1e-05	1e-05	1e-05	1e-05	0.00022	1e-05	4e-05
ZNF473	1e-05	1e-05	1e-05	1e-05	1e-05	3e-05	0.00021	4.14285714286e-05
STIL	1e-05	1e-05	0.00024	1e-05	1e-05	1e-05	1e-05	4.28571428571e-05
PEX3	3e-05	1e-05	1e-05	4e-05	1e-05	0.0002	1e-05	4.42857142857e-05
CENPN	1e-05	1e-05	0.00026	1e-05	1e-05	1e-05	1e-05	4.57142857143e-05
GLRX2	1e-05	1e-05	1e-05	1e-05	1e-05	0.00022	6e-05	4.71428571429e-05
TFAM	1e-05	1e-05	0.00026	1e-05	1e-05	2e-05	1e-05	4.71428571429e-05
MSH2	0.00012	1e-05	0.00016	1e-05	1e-05	1e-05	1e-05	4.71428571429e-05
UBE2V2	1e-05	1e-05	1e-05	0.00027	1e-05	1e-05	1e-05	4.71428571429e-05
AURKA	1e-05	1e-05	0.00028	1e-05	1e-05	1e-05	1e-05	4.85714285714e-05
CDCA3	1e-05	1e-05	0.00028	1e-05	1e-05	1e-05	1e-05	4.85714285714e-05
SLC31A1	1e-05	1e-05	1e-05	1e-05	1e-05	0.00025	5e-05	5e-05
ORC6	1e-05	1e-05	0.00017	1e-05	1e-05	1e-05	0.00014	5.14285714286e-05
NF2	1e-05	1e-05	1e-05	1e-05	1e-05	0.0003	1e-05	5.14285714286e-05
ATR	0.00013	1e-05	5e-05	0.00012	1e-05	1e-05	4e-05	5.28571428571e-05
NIF3L1	1e-05	1e-05	0.00031	1e-05	1e-05	1e-05	1e-05	5.28571428571e-05
CDC45	0.00027	5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	5.28571428571e-05
RIF1	1e-05	1e-05	8e-05	1e-05	1e-05	1e-05	0.00025	5.42857142857e-05
C20ORF24	1e-05	1e-05	1e-05	2e-05	1e-05	0.0001	0.00022	5.42857142857e-05
GEMIN6	1e-05	1e-05	1e-05	1e-05	1e-05	0.00032	1e-05	5.42857142857e-05
PSMC3	3e-05	1e-05	1e-05	1e-05	1e-05	0.00011	0.00021	5.57142857143e-05
RRS1	0.00024	1e-05	1e-05	3e-05	1e-05	8e-05	1e-05	5.57142857143e-05
QTRTD1	1e-05	1e-05	8e-05	0.00023	1e-05	6e-05	1e-05	5.85714285714e-05
NUP43	3e-05	1e-05	8e-05	0.00022	1e-05	1e-05	5e-05	5.85714285714e-05
DCAF17	0.00021	1e-05	0.00015	1e-05	1e-05	1e-05	1e-05	5.85714285714e-05
PITRM1	2e-05	0.00012	1e-05	1e-05	1e-05	0.00016	9e-05	6e-05
MOCS2	8e-05	1e-05	1e-05	0.00026	1e-05	4e-05	1e-05	6e-05
SLC25A32	0.00027	1e-05	6e-05	5e-05	1e-05	1e-05	1e-05	6e-05
GMPPB	2e-05	3e-05	2e-05	0.00028	1e-05	7e-05	1e-05	6.28571428571e-05
ASCC3	1e-05	1e-05	2e-05	1e-05	1e-05	0.00036	2e-05	6.28571428571e-05
RUVBL1	1e-05	1e-05	1e-05	1e-05	1e-05	0.00039	1e-05	6.42857142857e-05
GART	1e-05	1e-05	1e-05	1e-05	1e-05	0.00039	1e-05	6.42857142857e-05
CENPM	1e-05	1e-05	0.0004	1e-05	1e-05	1e-05	1e-05	6.57142857143e-05
SNRPG	1e-05	1e-05	1e-05	1e-05	1e-05	0.0004	1e-05	6.57142857143e-05
LIG1	1e-05	1e-05	0.00041	1e-05	1e-05	1e-05	1e-05	6.71428571429e-05
GGCT	0.00038	2e-05	1e-05	2e-05	1e-05	1e-05	2e-05	6.71428571429e-05
NME1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.00042	6.85714285714e-05
EZH2	1e-05	1e-05	0.00042	1e-05	1e-05	1e-05	1e-05	6.85714285714e-05
C7ORF44	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.00043	7e-05
RRM1	1e-05	1e-05	0.00043	1e-05	1e-05	1e-05	1e-05	7e-05
CSTF1	1e-05	1e-05	0.0002	1e-05	0.00025	1e-05	1e-05	7.14285714286e-05
SLC25A40	1e-05	1e-05	0.00045	1e-05	1e-05	1e-05	1e-05	7.28571428571e-05
WDR3	9e-05	1e-05	1e-05	0.00024	1e-05	1e-05	0.00014	7.28571428571e-05
SRP72	3e-05	1e-05	1e-05	1e-05	0.00025	0.0002	1e-05	7.42857142857e-05
VDAC3	1e-05	1e-05	1e-05	1e-05	1e-05	4e-05	0.00044	7.57142857143e-05
YAF2	0.00021	2e-05	0.0002	1e-05	1e-05	1e-05	9e-05	7.85714285714e-05
PARG	8e-05	1e-05	0.00036	1e-05	1e-05	6e-05	3e-05	8e-05
SKA1	1e-05	1e-05	0.0005	1e-05	1e-05	1e-05	1e-05	8e-05
RRP7A	3e-05	1e-05	1e-05	1e-05	1e-05	0.00049	1e-05	8.14285714286e-05
UBE2NL	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	0.00051	8.28571428571e-05
C16ORF61	1e-05	1e-05	1e-05	1e-05	1e-05	0.00051	3e-05	8.42857142857e-05
NOC3L	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	0.00053	8.57142857143e-05
LSM3	1e-05	1e-05	1e-05	1e-05	1e-05	0.00056	1e-05	8.85714285714e-05
DHFR	2e-05	1e-05	0.00057	1e-05	1e-05	1e-05	1e-05	9.14285714286e-05
MCRS1	1e-05	9e-05	0.00049	1e-05	1e-05	3e-05	2e-05	9.42857142857e-05
TOP3A	1e-05	1e-05	0.00053	1e-05	1e-05	1e-05	8e-05	9.42857142857e-05
ANAPC1	1e-05	1e-05	1e-05	8e-05	1e-05	0.00056	1e-05	9.85714285714e-05
ABHD5	1e-05	1e-05	0.00048	1e-05	1e-05	0.00017	1e-05	0.0001
PARP2	2e-05	1e-05	0.00063	1e-05	1e-05	1e-05	1e-05	0.0001
