	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
CSNK2A2	101	26	0.0473253749846143	0.50805
CSRP1	101	42	-1.1621475270969366	0.29445
CTNNAL1	101	57	-6.283514802235535	0.0007
CTNND1	101	32	1.5070706576177577	0.73135
CTSD	101	26	0.5874398163616511	0.5886
CTSL1	101	35	-3.944726127338902	0.05257
CTTN	101	70	-3.3932695044520202	0.02186
CXCL2	101	67	-2.8092526769633097	0.0527
CXCR4	101	49	2.530914262736776	0.89719
CYB561	101	20	7.265528039338446	0.98086
CYCS	101	48	-2.080455290031006	0.1517
CYTH1	101	61	-4.266459827141127	0.01022
DAG1	101	59	-8.70732754085878	1e-05
DAXX	101	72	-2.6110613504620503	0.06008
DCK	101	59	-11.154021635390116	1e-05
DCTD	101	46	-3.4543421557917773	0.05081
DCUN1D4	101	78	-6.713211020175498	2e-05
DDB2	101	66	-8.510645302167406	1e-05
DDIT4	101	43	-15.882438052479532	1e-05
DDR1	101	59	0.09254728364531117	0.51932
DDX10	101	52	-0.793179765872876	0.34536
DDX42	101	36	-2.4823475753879385	0.14645
DECR1	101	24	-5.299571283439167	0.03957
DENND2D	101	55	-3.0938186656223654	0.05299
DERA	101	49	-3.0468686589175094	0.06754
DFFA	101	43	-1.3643456573071036	0.25821
DFFB	101	58	-1.460763362702372	0.21467
DHDDS	101	57	1.1802265830826546	0.73613
DHRS7	101	41	3.2714605870419007	0.92899
DHX29	101	58	-6.829242303511492	0.00017
DLD	101	32	6.834728732141905	0.9938
DMTF1	101	37	1.9097213623442004	0.79808
DNAJA3	101	17	3.7411888831850373	0.85926
DNAJB1	101	68	-9.886684143224922	1e-05
DNAJB2	101	49	-1.944742957968088	0.16727
DNAJB6	101	40	0.2029629775489426	0.53776
DNAJC15	101	47	-6.2497380319987315	0.00202
DNM1	101	48	-1.1813849208376521	0.27872
DNM1L	101	42	3.5728878692901382	0.94708
DNMT1	101	78	-10.419142689519532	1e-05
DNMT3A	101	24	-1.398847605699708	0.30529
DNTTIP2	101	74	-6.2368592067501964	7e-05
DPH2	101	84	-7.911241658185854	1e-05
DRAP1	101	63	-1.5234359912251616	0.19333
DSG2	101	35	-2.4014420526195295	0.15459
DUSP11	101	30	0.561625980633204	0.58893
DUSP14	101	66	-8.15067649690623	1e-05
DUSP22	101	45	-5.755494709814848	0.00465
DUSP3	101	53	-3.3396374714256902	0.04437
DUSP4	101	46	-0.6029694540340272	0.38426
DUSP6	101	42	0.9634614826364666	0.67485
DYNLT3	101	55	-4.266880510181361	0.01408
DYRK3	101	72	1.6135573517895352	0.83515
E2F2	101	65	-3.5641163888967387	0.02245
EAPP	101	38	-4.9468548467559605	0.01892
EBNA1BP2	101	57	-9.603445367979447	1e-05
EBP	101	67	-10.382742197492517	1e-05
ECD	101	67	-5.9554904831668996	0.00036
ECH1	101	37	-3.8921426620914357	0.05098
EDEM1	101	57	-3.400314260682606	0.03533
EDN1	101	37	-1.9447621047148878	0.19875
EED	101	66	-10.333553908529533	1e-05
EGF	101	47	-9.24137199768759	3e-05
EGFR	101	73	-3.603688665280951	0.01598
EGR1	101	69	0.7744624616740872	0.6756
EIF4EBP1	101	69	-10.11139716801641	1e-05
EIF4G1	101	75	-7.208180244061466	2e-05
EIF5	101	30	2.984148010655205	0.87578
ELAC2	101	48	-2.5036873179198413	0.10993
ELAVL1	101	75	-9.466629165712538	1e-05
ELOVL6	101	61	-9.575299085800319	1e-05
EML3	101	48	-1.7553754938832022	0.1919
ENOPH1	101	33	7.730675730789568	0.99789
ENOSF1	101	57	-4.218533278785003	0.01317
EPB41L2	101	66	-5.545693005267085	0.00089
EPHA3	101	55	2.4705536634419056	0.9028
EPHB2	101	67	-4.852987566157476	0.00284
EPN2	101	59	-1.346081913277863	0.22841
EPRS	101	63	-11.210332269260773	1e-05
ERBB2	101	37	-4.295361470018781	0.03606
ERBB3	101	28	-3.3381656399751063	0.10828
ERO1L	101	64	-7.273828920939817	3e-05
ETFB	101	58	-7.57047273701566	4e-05
ETS1	101	43	-3.241681249300861	0.06856
ETV1	101	40	-4.922678773894457	0.01719
EVL	101	50	-0.5002372852455885	0.40116
EXOSC4	101	78	-2.6858703236737473	0.04676
EXT1	101	31	-0.2603657862361389	0.45894
EZH2	101	83	-10.400181868652503	1e-05
FAH	101	51	-9.467556210012111	1e-05
FAIM	101	52	-3.855788480083594	0.0269
FAM20B	101	64	-6.233990411588288	0.00024
FAM57A	101	53	-4.726638305466916	0.00888
FAM63A	101	40	0.1138153397031549	0.52142
FAM69A	101	27	3.0953777748715865	0.87173
FAS	101	61	-4.058347764144772	0.0137
FASTKD5	101	41	0.38878752113139825	0.57104
FAT1	101	53	-2.9204365933861034	0.06752
FBXL12	101	43	-0.2804196737157507	0.44446
FBXO11	101	75	-6.9133766650965045	4e-05
FBXO21	101	25	-1.3702111709193414	0.31024
FBXO7	101	55	-2.505143920900594	0.09301
FCHO1	101	32	-4.087923012444853	0.05645
FDFT1	101	37	-11.269155295910778	2e-05
FEZ2	101	83	-3.240713406442769	0.01795
FGFR2	101	37	2.536166531012649	0.86292
FGFR4	101	71	-1.6706135989860884	0.158
FHL2	101	51	2.8612126746792743	0.9255
FIS1	101	35	-1.8083369672665448	0.21911
FKBP14	101	73	-8.545724892130304	1e-05
FKBP4	101	39	-2.085476967056649	0.17508
FOS	101	36	0.6452792082862013	0.61034
FOSL1	101	60	0.42665476847289757	0.59235
FOXJ3	101	49	-0.0595119679066184	0.49043
FOXO3	101	37	-2.3181311165632437	0.1585
FOXO4	101	37	-1.6632222226446793	0.23385
FPGS	101	54	-2.369925525734671	0.10853
FRS2	101	40	-3.3188608204643684	0.07081
FSD1	101	29	0.1471071177676192	0.52449
FUT1	101	47	-1.5959503370376509	0.21612
FYN	101	61	1.578757924948237	0.81115
FZD1	101	42	-1.7028398865893581	0.21501
FZD7	101	81	1.9541359523215818	0.8939
G3BP1	101	58	-6.207464267064524	0.0006
GAA	101	53	-1.139858853816553	0.27704
GABPB1	101	70	-9.401820770307951	1e-05
GADD45A	101	38	-3.0485376771640427	0.09301
GADD45B	101	49	-1.6856892672722537	0.20018
GALE	101	65	-8.487221384421163	1e-05
GAPDH	101	62	-2.0344914890802897	0.12694
GATA2	101	47	-2.732668210745389	0.0925
GATA3	101	72	0.5206725534726413	0.62252
GDPD5	101	44	1.3309808701642023	0.73592
GFOD1	101	74	-2.0972637744384426	0.10075
GFPT1	101	57	-4.407043427476308	0.01026
GHR	101	69	-2.0652316255691434	0.11149
GLI2	101	71	0.028160029334991028	0.50273
GLOD4	101	46	-4.760441542298136	0.01368
GLRX	101	59	-2.8872433609624424	0.05892
GMNN	101	59	-12.408702441061616	1e-05
GNA11	101	55	-3.331420103075706	0.04088
GNA15	101	33	1.538295417981688	0.73683
GNAI1	101	59	-3.8594249320887513	0.01968
GNAI2	101	45	-0.7915197228231451	0.35241
GNAS	101	20	-2.4336441542700022	0.21399
GNB5	101	50	-4.029730931648828	0.02409
GNPDA1	101	38	-0.9266406776626397	0.34036
GOLT1B	101	49	0.2323705208687415	0.54786
GPATCH8	101	80	-1.126558895380537	0.2378
GPC1	101	32	-1.5062507650884867	0.26821
GPER	101	47	0.5697495232746278	0.60998
GPR56	101	58	-0.44092592108883993	0.40583
GRB10	101	38	-2.635976007426469	0.12513
GRB7	101	33	1.4648991396670272	0.72673
GRN	101	22	0.34756636439728267	0.54982
GRWD1	101	69	-7.494584746610403	3e-05
GSTM2	101	62	-3.769247857041679	0.0183
GSTZ1	101	20	-0.47152694268151873	0.43514
GTF2A2	101	57	-7.75299629844652	7e-05
GTF2E2	101	40	-4.367272402401216	0.02941
GTPBP8	101	52	-4.362184646702273	0.01461
H2AFV	101	55	-3.115789741485849	0.05195
HADH	101	45	-6.1872004691557825	0.0028
HAT1	101	73	-9.117885660457544	1e-05
HDAC2	101	81	-10.200295270191369	1e-05
HDAC6	101	33	-0.17032847348971306	0.47178
HDGFRP3	101	50	-4.86999198408182	0.00908
HEATR1	101	36	-4.231582650860171	0.03974
HEBP1	101	50	-0.16403404549233325	0.46727
HERC6	101	44	-0.2907852836200047	0.4464
HERPUD1	101	39	-4.570471600377199	0.02538
HES1	101	70	-0.9547290033980367	0.28369
HIF1A	101	30	0.682262915897001	0.60767
HIST1H2BK	101	19	7.193253794451139	0.97724
HIST2H2BE	101	25	-1.0082656010609372	0.35736
HK1	101	56	-5.966072893270714	0.00122
HLA-DMA	101	50	-1.9124795195037092	0.16934
HLA-DRA	101	64	-1.2236531291586112	0.24302
HMG20B	101	27	1.504072961529947	0.71401
HMGA2	101	62	-3.0409844607652365	0.04487
HMGCR	101	49	-6.871849022777402	0.00075
HMGCS1	101	48	-6.80076818326946	0.00094
HMOX1	101	48	-4.4930053308799485	0.01663
HN1L	101	62	-11.923866726038705	1e-05
HOMER2	101	46	-1.0126645954378866	0.31169
HOOK2	101	46	-0.14047408720499188	0.47042
HOXA10	101	80	-6.543681381888625	3e-05
HOXA5	101	59	-2.7383683424041725	0.06798
HPRT1	101	59	-6.955277205437164	0.00017
HS2ST1	101	70	-2.113771508231608	0.10318
HSD17B10	101	60	-6.15743082998852	0.00056
HSD17B11	101	38	-1.719441956949452	0.22366
HSPA1A	101	72	-2.2595321602700538	0.08755
HSPA4	101	61	-5.333154215158303	0.00199
HSPA8	101	42	-4.868663563870282	0.01533
HSPB1	101	70	-8.314642117475506	1e-05
HSPD1	101	69	-8.058493907275077	1e-05
HTATSF1	101	34	-3.2840139639546555	0.09012
HTRA1	101	32	-1.6677041864107436	0.2472
HYOU1	101	46	-1.7522001608173028	0.19934
IARS2	101	24	2.6218991681639148	0.81944
ICAM1	101	72	-3.7746037463391313	0.01247
ICAM3	101	67	-8.107603350813468	1e-05
ICMT	101	71	-10.398695739409938	1e-05
ID2	101	67	0.7711365018118643	0.67344
IDE	101	64	-6.380585360955855	0.00022
IER3	101	48	-2.9345718243080063	0.0762
IFNAR1	101	34	-1.7631102200852193	0.23018
IFRD2	101	52	-1.7839971696598886	0.18263
IGF1R	101	54	-4.7307520295048375	0.00801
IGF2BP2	101	70	-1.6031095896170136	0.16883
IGF2R	101	42	-4.192681865877573	0.03002
IGFBP3	101	51	0.9281062864738395	0.68391
IGHMBP2	101	54	1.8638866580740596	0.83568
IKBKAP	101	43	-6.306364486413867	0.00279
IKBKB	101	30	-2.6960610221150323	0.14744
IKBKE	101	81	-4.050415678250569	0.00469
IKZF1	101	70	4.062689081471177	0.99167
IL13RA1	101	31	-1.477029460049979	0.2759
IL1B	101	32	-0.1691105742818668	0.47131
IL4R	101	28	-1.5443244422840197	0.27433
ILK	101	36	-2.2505689216334694	0.16971
INPP1	101	60	0.4801379434264031	0.60364
INPP4B	101	78	-5.078509889760933	0.00087
INSIG1	101	44	-5.504466991702422	0.00677
INTS3	101	56	-3.6397949910448717	0.02817
IPO13	101	43	-0.16359956020842328	0.46579
IQGAP1	101	31	-5.122230804881279	0.02772
ISOC1	101	26	2.5556392211422527	0.8244
ITFG1	101	31	1.878186616357688	0.77612
ITGAE	101	63	-9.828315727961774	1e-05
ITGB1BP1	101	27	3.851812109985013	0.9183
ITGB5	101	55	-1.7901017190094	0.17237
JMJD6	101	31	2.0319009710729175	0.7932
JUN	101	34	-5.049537201187756	0.02365
KAT6A	101	50	-1.3758225263009187	0.24441
KAT6B	101	37	-1.2219415857224527	0.29593
KCNK1	101	66	-5.601803787907938	0.00084
KCTD5	101	79	-5.107768802430588	0.00074
KDELR2	101	68	-11.214730221702748	1e-05
KDM3A	101	38	-1.5585116205738676	0.24451
KDM5A	101	52	-1.3146098714508463	0.253
KDM5B	101	37	-3.1689224215140825	0.08877
KEAP1	101	57	-1.4498629192260732	0.21513
KIAA0100	101	67	-7.333039569148353	2e-05
KIAA0196	101	24	-0.6813123124417602	0.40177
KIAA0355	101	59	-1.3767865974793385	0.22325
KIAA0494	101	25	-0.18892197874218356	0.47372
KIAA0528	101	35	1.558459561206044	0.74399
KIAA0753	101	57	-0.6701760255117977	0.35503
KIAA0907	101	47	-2.548078061950283	0.10732
KIAA1033	101	41	0.48738411877403154	0.58881
KIAA1279	101	37	-6.087123998959366	0.00697
KIF14	101	83	-6.514639553302748	2e-05
KIF20A	101	82	-7.699705217719053	1e-05
KIF2C	101	50	-0.14172050932133476	0.47171
KIF5C	101	51	-0.32116262381784516	0.43531
KIT	101	51	-0.31035443736809076	0.43767
KLHDC2	101	30	-4.2309605945666044	0.05589
KLHL21	101	65	-0.5819549595398557	0.36771
KLHL9	101	54	-3.7871515761122545	0.02522
KTN1	101	52	-3.797057855192979	0.02863
LAGE3	101	60	-8.993611497133474	1e-05
LAMA3	101	50	-4.278107270351744	0.01807
LAP3	101	21	5.1514137233544375	0.94346
LBR	101	81	-10.228315691885054	1e-05
LGALS8	101	28	-1.345811156050117	0.29942
LGMN	101	36	-3.0548733308369123	0.09991
LIG1	101	65	-10.06057926441804	1e-05
LIPA	101	53	-9.199727900837939	1e-05
LOXL1	101	53	-2.2121149245178886	0.1262
LPAR2	101	53	-1.2945114808109857	0.25078
LPGAT1	101	48	-5.688319017957724	0.00409
LRP10	101	34	-0.6700475589411395	0.38944
LRPAP1	101	34	-2.9165297555972955	0.11529
LRRC16A	101	55	-6.87592630516374	0.00021
LRRC41	101	42	-2.7029713534734476	0.10797
LSM5	101	32	5.355911860885579	0.97851
LSM6	101	77	-10.415231731888477	1e-05
LSR	101	52	0.6375285589924297	0.63145
LYN	101	57	-2.614020711331279	0.08109
LYPLA1	101	48	-2.620459911639728	0.10007
LYRM1	101	56	-3.124370078773859	0.05001
MACF1	101	60	-0.5260288644128921	0.38623
MALT1	101	62	-8.962217234606713	1e-05
MAMLD1	101	65	-0.04373269149523378	0.48881
MAN2B1	101	20	0.2769504605486566	0.53597
MAP2K5	101	62	-2.270331373536069	0.10167
MAP3K4	101	67	-3.7385900295165175	0.01586
MAP4K4	101	64	-4.776391208333615	0.00374
MAP7	101	47	-2.3438515534016413	0.12677
MAPK13	101	48	-0.3216280005979269	0.43387
MAPK1IP1L	101	54	-10.45009395557632	1e-05
MAPK9	101	53	-3.7980670740974887	0.0268
MAPKAPK2	101	64	-3.414875822926041	0.02733
MAPKAPK3	101	68	-2.5014254177683846	0.07204
MAPKAPK5	101	84	-5.661702401599803	0.00014
MAST2	101	73	-2.187046356860356	0.0945
MAT2A	101	59	-4.1915198497906685	0.01252
MBNL1	101	68	-10.230866299522628	1e-05
MBNL2	101	67	-5.990119781068354	0.00033
MBOAT7	101	33	-0.7587576702321422	0.37522
MBTPS1	101	45	-4.3849957616131485	0.02098
MCM3	101	71	-10.680561392143826	1e-05
MCOLN1	101	78	-2.089561678381904	0.09496
ME2	101	47	-2.9870128778242915	0.0744
MEF2C	101	77	-1.0869003151273293	0.24901
MELK	101	84	-10.515370682651735	1e-05
MEST	101	30	0.4992412021332669	0.57949
METRN	101	53	-2.780610459524425	0.0767
MFSD10	101	46	-1.2264119166209992	0.27697
MICALL1	101	75	-4.554634126223215	0.00268
MIF	101	82	-7.7053604303408765	1e-05
MKNK1	101	27	-2.0055335708146993	0.22425
MLEC	101	56	-8.67532205236265	3e-05
MLLT11	101	50	1.1630003916635607	0.72237
MMP1	101	60	2.995964225902384	0.95117
MMP2	101	36	-1.8573401093939028	0.21502
MNAT1	101	65	-7.651643002962874	3e-05
MOK	101	53	-1.626703001022268	0.19947
MPZL1	101	49	-6.380757401046497	0.00148
MRPL12	101	74	-6.895067334845311	4e-05
MRPL19	101	59	-10.715874530596759	1e-05
MRPS16	101	45	-0.9221095525515943	0.32865
MRPS2	101	59	-1.7144075848705889	0.17256
MSH6	101	63	-10.520665108877914	1e-05
MSRA	101	65	-6.5397238507016136	0.00011
MTA1	101	39	0.5861113976083522	0.60477
MTERFD1	101	39	-2.7717584539289746	0.11044
MTF2	101	47	-1.451948209928091	0.23773
MTFR1	101	28	-3.2396115214518644	0.1146
MTHFD2	101	62	-10.184266707783364	1e-05
MUC1	101	69	-1.1914002464570477	0.2393
MVP	101	33	-0.9305743432966331	0.34936
MYBL2	101	68	-11.063835642587424	1e-05
MYC	101	57	-4.649065194288351	0.00745
MYCBP	101	61	-13.0801363090686	1e-05
MYCBP2	101	47	-4.9104987544117655	0.01075
MYL9	101	42	-1.349877188844928	0.26509
MYLK	101	64	0.6922247163930446	0.65304
MYO10	101	48	-8.360985580014253	0.00012
NARFL	101	60	1.100659356557193	0.72732
NCAPD2	101	69	-5.472398868667882	0.0007
NCK1	101	23	-1.164394282423086	0.34112
NCK2	101	45	-4.3633874172420075	0.02139
NCOA3	101	26	-1.2020511563876348	0.32809
NENF	101	11	-2.498392692924259	0.26627
NET1	101	42	-7.673766759247065	0.00048
NFATC3	101	61	2.6310805952582075	0.92832
NFATC4	101	29	-1.8109644860305882	0.24393
NFE2L2	101	51	-3.063114030198357	0.06106
NFIL3	101	56	-10.154436124083887	1e-05
NFKB2	101	46	-4.523495067858711	0.01755
NFKBIA	101	71	-1.588467215849093	0.17
NFKBIB	101	63	-6.779289865125794	9e-05
NFKBIE	101	40	0.5142211061675844	0.59428
NGRN	101	68	-2.4529640085619393	0.07576
NIPSNAP1	101	47	-10.519706343083412	1e-05
NISCH	101	54	-2.1557815142185497	0.13013
NIT1	101	34	0.28537681649254687	0.55034
NMT1	101	58	-3.333827132586758	0.03795
NNT	101	65	-4.8587180341641805	0.0031
NOL3	101	47	-1.9165530125037018	0.17475
NOLC1	101	74	-7.863032617688785	1e-05
NOS3	101	29	2.3098717116972485	0.81444
NOSIP	101	53	-3.17336256492408	0.05266
NOTCH1	101	48	0.5398821777518643	0.6051
NPC1	101	60	-1.0189102694923031	0.28729
NPDC1	101	26	-6.002294301100811	0.02209
NPEPL1	101	33	-1.5020794844529803	0.26812
NPRL2	101	42	0.5231150683623186	0.5973
NR1H2	101	53	0.7033688576673294	0.64324
NR2F6	101	47	-2.1710688979033144	0.14549
NR3C1	101	60	1.33675068661857	0.76892
NRAS	101	51	-7.751248607237244	9e-05
NRIP1	101	51	-3.7761830518550266	0.02972
NSDHL	101	69	-8.468373404999486	1e-05
NT5DC2	101	76	-6.652050923938594	2e-05
NUCB2	101	50	-7.789700887258642	0.00013
NUDCD3	101	39	-4.711082602652499	0.02208
NUDT9	101	29	-3.0353550534553886	0.12504
NUP133	101	61	-4.255913750108881	0.01037
NUP62	101	74	-8.870825371313659	1e-05
