	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
ACOT9	90	37	-10.189	0.01781	138	39	2.687	0.72498	96	67	-12.894	1e-05	101	38	-2.421	0.14493	174	63	-5.752	0.00161	96	33	-4.797	0.10141	78	25	1.539	0.63135
ADAM10	90	56	-14.452	0.0001	138	71	0.869	0.60514	96	41	0.03	0.50315	101	61	-0.9	0.30785	174	83	0.971	0.73063	96	35	-5.02	0.0864	78	42	0.392	0.54188
ADAT1	90	51	-2.982	0.22809	138	82	1.88	0.72839	96	62	0.163	0.52509	101	44	-8.249	0.00019	174	104	-1.052	0.2253	96	65	-5.064	0.02853	78	64	-2.676	0.18463
ADCK3	90	51	-11.647	0.00239	138	104	-5.378	0.02523	96	70	0.007	0.5004	101	48	-1.142	0.28498	174	110	-1.254	0.17988	96	71	-6.429	0.00601	78	25	1.784	0.6513
ADH5	90	36	-1.334	0.39076	138	73	-2.025	0.26846	96	44	2.311	0.7744	101	52	-0.752	0.35305	174	88	-4.841	0.00131	96	55	-5.554	0.02818	78	37	-2.418	0.26869
ADI1	90	50	-10.386	0.00589	138	92	-12.245	1e-05	96	43	-2.094	0.2485	101	41	-3.047	0.08391	174	75	-7.514	3e-05	96	53	-7.736	0.00492	78	30	-3.278	0.22307
ADO	90	59	-10.975	0.0018	138	97	2.15	0.77511	96	70	-8.804	0.00018	101	83	-3.827	0.00648	174	118	-5.736	2e-05	96	73	-6.87	0.00309	78	37	3.819	0.83708
ADRB2	90	56	-8.052	0.01727	138	87	-3.664	0.11171	96	68	-4.377	0.03906	101	59	-2.602	0.07751	174	110	-3.53	0.00535	96	79	-12.14	1e-05	78	45	-8.996	0.00661
AGL	90	52	-4.026	0.15538	138	90	3.979	0.91123	96	54	-1.937	0.24163	101	64	-4.932	0.00282	174	124	-4.402	0.00043	96	53	0.661	0.58768	78	47	-9.446	0.00395
AKAP8	90	54	-15.829	5e-05	138	84	-1.233	0.34552	96	58	-5.437	0.02181	101	59	-2.403	0.09398	174	92	-3.075	0.0212	96	52	-2.431	0.20767	78	39	-11.15	0.00195
AKAP8L	90	45	2.576	0.72522	138	75	-1.581	0.31617	96	52	2.683	0.82901	101	50	0.457	0.59224	174	83	1.626	0.84814	96	65	0.235	0.53685	78	19	-4.564	0.20172
AKR7A2	90	34	13.319	0.99515	138	45	1.687	0.65418	96	35	5.386	0.93708	101	27	-4.163	0.06765	174	36	-2.171	0.18086	96	38	-0.96	0.39098	78	15	-14.171	0.01877
AKT1	90	57	-7.857	0.02004	138	44	9.256	0.98353	96	59	-8.541	0.00087	101	55	-4.947	0.00566	174	71	-7.587	6e-05	96	56	-3.018	0.14678	78	42	-16.17	3e-05
ALAS1	90	37	4.602	0.83731	138	57	-1.858	0.30965	96	31	2.042	0.71561	101	32	0.222	0.53383	174	82	3.236	0.97724	96	34	-2.162	0.27666	78	48	4.212	0.89016
ALDH7A1	90	40	-5.473	0.11304	138	57	3.16	0.80309	96	59	1.732	0.74372	101	59	-2.307	0.10305	174	50	-0.519	0.3999	96	48	-2.074	0.25158	78	31	-13.746	0.00121
ALDOA	90	33	-6.717	0.09122	138	79	-5.457	0.04229	96	60	-12.927	1e-05	101	55	-1.989	0.14712	174	84	-1.274	0.20805	96	40	-7.521	0.0151	78	40	-10.855	0.00273
ALDOC	90	54	-18.522	2e-05	138	60	-7.863	0.0163	96	56	-14.907	1e-05	101	39	-7.614	0.001	174	89	-9.808	1e-05	96	33	-7.557	0.0253	78	26	-29.979	1e-05
AMDHD2	90	42	-2.796	0.2645	138	67	-2.688	0.21942	96	43	0.294	0.53808	101	40	-1.335	0.27047	174	72	-1.266	0.22767	96	53	-0.189	0.47182	78	42	1.674	0.6752
ANKRD10	90	41	-3.371	0.2235	138	76	-2.642	0.20693	96	21	3.57	0.79178	101	58	-0.664	0.35939	174	90	-2.83	0.0326	96	54	-2.754	0.17161	78	35	-18.239	3e-05
ANO10	90	62	-2.479	0.24737	138	54	-2.438	0.26184	96	53	-6.76	0.00903	101	68	-5.04	0.00199	174	85	-6.682	4e-05	96	32	-2.405	0.25883	78	28	0.705	0.56242
ANXA7	90	51	-13.839	0.00055	138	65	-8.766	0.00665	96	34	-10.018	0.00371	101	49	-4.574	0.01338	174	89	-10.783	1e-05	96	43	-1.209	0.35525	78	41	-14.375	9e-05
APBB2	90	56	-1.369	0.36109	138	90	5.267	0.96237	96	54	3.794	0.91445	101	51	1.807	0.82127	174	101	-2.087	0.07334	96	35	0.274	0.532	78	58	3.215	0.84861
APOE	90	50	-5.323	0.09446	138	91	5.885	0.97681	96	48	-0.744	0.39971	101	58	2.67	0.92475	174	98	-1.135	0.21636	96	40	0.897	0.60526	78	40	-1.714	0.32407
APP	90	41	-2.641	0.27557	138	58	1.807	0.68584	96	38	2.339	0.75972	101	34	-0.252	0.45892	174	69	-0.868	0.30647	96	32	-0.187	0.47812	78	40	-1.37	0.35739
APPBP2	90	42	-6.476	0.07328	138	56	2.819	0.77546	96	31	-4.625	0.10482	101	29	-5.811	0.01966	174	65	-1.001	0.28523	96	36	-5.389	0.06768	78	33	2.424	0.72511
ARFIP2	90	26	-3.382	0.27438	138	48	-7.545	0.03398	96	50	-10.584	0.00024	101	58	-0.837	0.32491	174	89	-7.682	1e-05	96	33	-3.495	0.17367	78	24	2.321	0.68681
ARHGAP1	90	43	-4.177	0.16977	138	55	-3.198	0.19943	96	47	2.569	0.80524	101	56	-4.392	0.01084	174	90	-2.658	0.04111	96	30	0.268	0.52906	78	42	3.602	0.83795
ARHGEF12	90	48	5.757	0.91974	138	83	-3.753	0.11224	96	27	-4.276	0.13924	101	52	-3.883	0.02615	174	93	-0.449	0.38145	96	61	-7.664	0.00278	78	31	0.562	0.55347
ARHGEF2	90	37	-18.271	0.00019	138	73	-6.793	0.02036	96	44	1.558	0.69385	101	60	-7.759	1e-05	174	97	-5.441	0.00019	96	58	-7.613	0.00394	78	34	-17.301	8e-05
ARID4B	90	45	0.298	0.52609	138	46	-0.166	0.48475	96	30	-2.871	0.21936	101	30	-1.062	0.33382	174	60	-1.352	0.23111	96	46	-3.826	0.11305	78	25	-3.635	0.22058
ARID5B	90	52	1.952	0.68944	138	62	1.135	0.62612	96	41	-1.976	0.26771	101	36	0.216	0.53693	174	104	0.218	0.5621	96	38	0.222	0.52785	78	43	-0.422	0.45453
ARL4C	90	35	-0.277	0.4771	138	62	-16.66	2e-05	96	52	-2.383	0.20042	101	34	-2.386	0.16096	174	87	-0.286	0.4258	96	30	-3.761	0.1663	78	56	-3.174	0.1589
ARNT2	90	30	5.421	0.85031	138	49	-4.004	0.16161	96	37	1.923	0.72103	101	33	0.492	0.58124	174	75	0.802	0.68539	96	34	2.341	0.73708	78	36	3.029	0.77784
ARPP19	90	51	-17.529	2e-05	138	63	-5.78	0.05293	96	37	-2.956	0.18605	101	67	-5.903	0.00041	174	73	-1.381	0.20508	96	49	2.261	0.76997	78	38	-6.693	0.04439
ASAH1	90	31	-5.753	0.13278	138	52	-0.935	0.40344	96	28	1.815	0.68143	101	28	-0.671	0.39599	174	95	-1.302	0.18929	96	34	3.198	0.80679	78	27	-2.124	0.3185
ASCC3	90	54	-19.895	2e-05	138	79	-17.257	1e-05	96	54	-12.315	2e-05	101	77	-8.95	1e-05	174	92	-9.799	1e-05	96	76	-8.383	0.00031	78	37	-17.08	7e-05
ATF1	90	56	-16.755	1e-05	138	93	-9.277	0.00085	96	64	-5.263	0.01989	101	64	-7.041	7e-05	174	93	-7.696	1e-05	96	68	-9.543	0.00016	78	36	-5.53	0.08498
ATF5	90	56	-5.682	0.06812	138	65	-3.746	0.14171	96	50	-11.664	9e-05	101	72	-9.383	1e-05	174	86	-3.288	0.01854	96	39	-8.052	0.01187	78	44	-4.683	0.09558
ATF6	90	40	-8.8	0.02708	138	70	-0.894	0.39601	96	37	-0.503	0.44075	101	55	-5.7	0.00187	174	91	-4.129	0.00419	96	47	-1.52	0.31243	78	32	4.179	0.84043
ATG3	90	49	-4.231	0.15333	138	93	-4.335	0.0679	96	64	-12.357	1e-05	101	61	-4.481	0.00764	174	97	-6.809	2e-05	96	57	-7.083	0.00683	78	46	-13.575	7e-05
ATMIN	90	52	-10.836	0.00382	138	75	-5.702	0.04166	96	38	-2.081	0.26453	101	39	-4.108	0.03741	174	65	-10.751	1e-05	96	58	-6.371	0.01273	78	28	-5.02	0.13347
ATP11B	90	41	-1.499	0.36463	138	67	0.389	0.54857	96	30	2.102	0.71592	101	37	-0.384	0.43364	174	86	-0.717	0.32049	96	50	-0.195	0.47191	78	43	2.604	0.7628
ATP1B1	90	50	-12.51	0.00123	138	56	-8.027	0.01676	96	40	-15.291	2e-05	101	80	-3.762	0.00919	174	80	-8.334	1e-05	96	40	-0.888	0.39404	78	25	0.084	0.50929
ATP2C1	90	41	-0.748	0.43056	138	58	-2.592	0.24079	96	63	-12.511	1e-05	101	30	-2.622	0.15394	174	91	1.197	0.78712	96	39	2.274	0.74882	78	30	0.06	0.5037
ATP5S	90	42	-3.75	0.19922	138	74	-4.652	0.07797	96	48	-4.319	0.07255	101	39	-3.013	0.09191	174	76	-0.274	0.43249	96	29	2.187	0.71223	78	45	5.939	0.95269
ATP6V0B	90	48	-32.784	1e-05	138	82	-17.456	1e-05	96	63	-3.669	0.07565	101	54	-9.801	1e-05	174	79	-11.158	1e-05	96	46	-7.512	0.01043	78	32	-11.28	0.00522
ATP6V1D	90	38	-5.773	0.10795	138	57	-4.57	0.11036	96	29	-9.421	0.00989	101	23	2.847	0.83622	174	54	-1.929	0.16078	96	54	-3.287	0.12928	78	27	6.139	0.90716
AURKA	90	60	-18.539	1e-05	138	87	-26.082	1e-05	96	73	-7.195	0.00138	101	72	-7.965	1e-05	174	118	-9.065	1e-05	96	68	-12.66	1e-05	78	36	-29.813	1e-05
AURKB	90	63	-19.464	1e-05	138	94	-22.269	1e-05	96	69	-2.701	0.13416	101	69	-5.904	0.00031	174	98	-2.266	0.06055	96	71	-14.672	1e-05	78	54	-19.077	1e-05
AXIN1	90	59	-8.175	0.01474	138	86	-0.808	0.39831	96	63	-2.108	0.20489	101	60	-2.527	0.08508	174	85	-0.501	0.37403	96	54	-0.001	0.50052	78	52	1.057	0.62609
B3GNT1	90	49	-9.268	0.01275	138	71	-17.279	1e-05	96	48	-7.994	0.00441	101	55	-2.508	0.09275	174	100	-8.472	1e-05	96	40	-4.56	0.08925	78	22	-22.922	9e-05
BACE2	90	36	-7.034	0.07305	138	81	-2.836	0.18313	96	43	0.932	0.61974	101	59	3.661	0.97508	174	87	-4.497	0.00258	96	49	-0.906	0.38248	78	32	0.672	0.56353
BAD	90	39	6.886	0.93139	138	37	-2.236	0.31635	96	48	0.484	0.56391	101	53	-3.185	0.05198	174	122	-3.708	0.00259	96	38	-2.534	0.23358	78	15	-2.89	0.31488
BAG3	90	43	-27.833	1e-05	138	54	4.374	0.87312	96	38	-0.345	0.4576	101	59	-7.84	5e-05	174	68	-3.931	0.01477	96	35	-1.653	0.32377	78	28	2.437	0.70777
BAMBI	90	31	-13.377	0.00673	138	80	-11.758	0.00014	96	53	-16.259	1e-05	101	48	-1.895	0.17426	174	66	-0.101	0.47641	96	21	-1.678	0.35642	78	35	0.963	0.59495
BAX	90	42	-2.887	0.25745	138	66	5.219	0.93398	96	44	1.939	0.7367	101	38	0.249	0.54417	174	90	0.423	0.60894	96	57	-0.428	0.44087	78	55	0.069	0.5082
BCL2	90	56	-10.4	0.00394	138	85	-0.589	0.42354	96	72	-0.02	0.49593	101	69	-3.969	0.01011	174	103	-7.923	1e-05	96	67	-6.828	0.00426	78	52	-9.592	0.00215
BCL7B	90	54	-15.373	7e-05	138	88	-14.903	1e-05	96	75	-5.846	0.00637	101	78	-6.794	2e-05	174	92	-5.974	6e-05	96	66	-12.172	2e-05	78	33	-13.916	0.00072
BDH1	90	54	-8.095	0.02022	138	77	-12.377	0.00012	96	58	-7.134	0.00439	101	64	-7.073	6e-05	174	94	-9.017	1e-05	96	69	-5.737	0.01305	78	30	-8.262	0.03235
BECN1	90	37	0.057	0.50771	138	38	-1.579	0.36236	96	31	0.637	0.57308	101	58	-2.508	0.08916	174	68	-0.65	0.35232	96	52	-1.589	0.29545	78	26	-4.018	0.19362
BHLHE40	90	54	-7.824	0.02373	138	73	-15.169	2e-05	96	58	-3.696	0.08281	101	71	-1.479	0.18692	174	75	-0.277	0.43281	96	49	0.375	0.54757	78	32	-17.368	7e-05
BID	90	48	4.308	0.85324	138	68	-2.621	0.22048	96	37	-9.29	0.00409	101	51	2.272	0.8762	174	96	-5.832	8e-05	96	43	0.14	0.51692	78	53	-8.131	0.00699
BIRC2	90	48	-18.766	3e-05	138	74	-5.572	0.04477	96	44	-0.24	0.46694	101	62	-5.086	0.0026	174	90	-2.184	0.07593	96	50	-5.741	0.03036	78	39	-0.823	0.41581
BIRC5	90	60	-27.436	1e-05	138	81	-25.595	1e-05	96	63	-4.581	0.03676	101	73	-9.724	1e-05	174	114	-11.721	1e-05	96	72	-17.641	1e-05	78	48	-21.576	1e-05
BLCAP	90	33	-5.452	0.13821	138	42	-6.024	0.08534	96	39	-7.33	0.0146	101	44	-3.455	0.05504	174	86	-0.913	0.27752	96	37	-0.316	0.46422	78	39	-2.981	0.21757
BLMH	90	54	-10.194	0.00514	138	81	-11.517	0.00018	96	60	2.381	0.81865	101	77	-5.609	0.00031	174	101	-10.935	1e-05	96	63	-6.257	0.0108	78	40	-21.875	1e-05
BLVRA	90	47	-1.986	0.31556	138	39	-2.998	0.25154	96	51	-6.071	0.01825	101	42	-4.162	0.0308	174	65	-0.087	0.48041	96	36	0.438	0.54843	78	26	6.489	0.91408
BMP4	90	50	-0.778	0.42332	138	59	-1.694	0.32109	96	37	-0.874	0.39685	101	45	1.193	0.71871	174	98	2.309	0.94271	96	31	-8.589	0.01623	78	54	-0.573	0.43002
BNIP3	90	61	-22.897	1e-05	138	71	-2.864	0.19683	96	56	-16.122	1e-05	101	36	-2.599	0.13522	174	86	-3.631	0.0109	96	59	-10.286	0.00012	78	42	-12.95	0.00027
BNIP3L	90	56	-3.04	0.21409	138	52	0.468	0.54639	96	47	-9.336	0.00119	101	26	-3.264	0.1206	174	66	0.151	0.53309	96	46	2.158	0.75456	78	25	3.051	0.74274
BPHL	90	43	0.959	0.5878	138	37	-0.643	0.44819	96	39	2.553	0.78365	101	44	0.445	0.5864	174	89	2.06	0.91084	96	41	-1.485	0.32468	78	39	0.635	0.56933
BRCA1	90	60	-24.648	1e-05	138	94	-22.356	1e-05	96	69	-12.192	1e-05	101	75	-10.715	1e-05	174	121	-9.936	1e-05	96	62	-14.186	1e-05	78	40	-27.709	1e-05
BRP44	90	45	-9.464	0.01453	138	61	-4.981	0.08336	96	52	-3.737	0.09399	101	64	-6.902	8e-05	174	94	-10.085	1e-05	96	54	-4.019	0.08379	78	43	-6.064	0.04812
BTK	90	60	-10.927	0.00178	138	95	0.09	0.51489	96	52	0.104	0.51479	101	64	-3.317	0.03112	174	104	-1.913	0.08625	96	60	-5.027	0.03538	78	47	-2.052	0.2768
BUB1B	90	57	-10.366	0.00336	138	87	-18.351	1e-05	96	43	1.898	0.72996	101	72	-8.336	1e-05	174	92	0.509	0.63093	96	58	-6.023	0.01711	78	63	-9.683	0.00048
BZW2	90	41	3.255	0.76506	138	104	2.809	0.84452	96	69	-12.356	1e-05	101	83	-5.144	0.00052	174	114	-2.665	0.02555	96	50	0.946	0.62051	78	49	-14.353	3e-05
C2CD2	90	41	-9.158	0.02169	138	90	-3.029	0.15393	96	50	-6.382	0.01528	101	65	-2.263	0.09814	174	100	-3.537	0.00803	96	75	-2.704	0.13669	78	38	-9.926	0.00628
C2CD2L	90	47	-12.014	0.00303	138	67	5.003	0.92718	96	50	-0.263	0.46279	101	73	-6.244	8e-05	174	79	-1.898	0.12081	96	65	-8.581	0.00079	78	30	-9.275	0.01982
C5	90	53	-0.373	0.46353	138	72	-20.485	1e-05	96	38	0.712	0.58636	101	60	1.373	0.77515	174	97	0.579	0.65515	96	35	-2.487	0.24427	78	37	-9.038	0.01224
CAB39	90	59	-21.384	1e-05	138	77	-4.479	0.0813	96	55	0.439	0.56087	101	43	-2.123	0.16006	174	88	-1.615	0.14437	96	44	-12.481	0.00023	78	30	-3.514	0.20713
CALM3	90	61	1.388	0.64659	138	80	-4.5	0.07559	96	57	-1.767	0.25822	101	51	-4.977	0.00773	174	105	-0.571	0.34375	96	57	-1.909	0.25103	78	49	-3.22	0.17098
CALU	90	34	1.659	0.63303	138	66	-16.383	1e-05	96	67	-15.803	1e-05	101	51	-9.364	1e-05	174	84	-12.018	1e-05	96	38	-0.018	0.50082	78	18	6.324	0.86701
CAMSAP2	90	38	3.189	0.75332	138	62	7.632	0.98196	96	40	1.773	0.70942	101	34	1.012	0.6668	174	71	-1.153	0.24765	96	40	2.094	0.73327	78	56	2.03	0.73748
CANT1	90	55	-6.92	0.03714	138	70	1.127	0.63242	96	35	-7.353	0.0199	101	44	-2.459	0.12259	174	55	-3.256	0.04982	96	57	-2.155	0.22444	78	11	1.708	0.59835
CAPN1	90	43	-8.05	0.03438	138	73	-0.694	0.41699	96	39	-5.168	0.05854	101	62	-1.68	0.17254	174	91	-8.823	1e-05	96	54	2.234	0.78001	78	33	-14.117	0.00069
CASC3	90	43	0.443	0.54121	138	62	-11.266	0.00128	96	39	-6.37	0.02843	101	52	-2.864	0.07376	174	76	-3.14	0.03031	96	56	1.004	0.63962	78	23	-10.569	0.02137
CASK	90	55	-15.786	6e-05	138	53	-12.127	0.00121	96	51	-17.537	1e-05	101	56	-10.613	1e-05	174	98	-8.736	1e-05	96	62	-5.627	0.01906	78	42	-15.771	3e-05
CASP10	90	44	5.392	0.89433	138	77	8.183	0.99391	96	43	1.561	0.69347	101	46	5.188	0.99092	174	86	0.359	0.59021	96	59	2.291	0.79385	78	55	10.515	0.99935
CASP2	90	62	-19.017	1e-05	138	84	-13.031	1e-05	96	70	-6.968	0.00204	101	72	-8.4	1e-05	174	109	-8.265	1e-05	96	68	-12.576	1e-05	78	51	-1.085	0.37246
CASP3	90	56	-15.096	5e-05	138	86	-5.758	0.03	96	33	0.747	0.58286	101	58	-3.03	0.05255	174	90	-0.178	0.45214	96	76	-5.75	0.00943	78	59	-7.81	0.00589
CASP7	90	54	-12.514	0.00077	138	73	-13.98	6e-05	96	51	-12.142	3e-05	101	79	-8.373	1e-05	174	88	-8.575	1e-05	96	47	-7.722	0.00817	78	38	10.06	0.99414
CAST	90	33	-0.482	0.46255	138	38	1.772	0.64863	96	22	-0.561	0.44898	101	21	-2.015	0.24971	174	54	-0.118	0.47448	96	36	-9.843	0.00457	78	26	1.432	0.61962
CAT	90	45	-3.658	0.19402	138	55	-3.516	0.17749	96	25	-2.628	0.25903	101	36	-11.491	6e-05	174	67	0.01	0.5019	96	20	-2.647	0.28458	78	39	-7.735	0.0221
CBLB	90	37	-4.083	0.19492	138	48	1.933	0.68409	96	30	-0.8	0.41232	101	31	-3.072	0.11546	174	77	0.338	0.5807	96	32	0.18	0.51769	78	27	0.183	0.51539
CBR1	90	52	-18.262	1e-05	138	80	-9.502	0.00141	96	46	-12.951	2e-05	101	67	-7.401	2e-05	174	105	-7.496	1e-05	96	38	1.651	0.6863	78	43	-17.171	2e-05
CBR3	90	51	-11.829	0.00217	138	81	-16.461	1e-05	96	59	-6.621	0.00682	101	59	-10.318	1e-05	174	93	-5.267	0.00037	96	58	-11.124	5e-05	78	49	0.431	0.54969
CCDC85B	90	39	0.683	0.55941	138	69	-0.968	0.38699	96	62	-5.536	0.01674	101	72	-4.812	0.00213	174	95	-1.467	0.16036	96	24	-0.791	0.42789	78	19	10.547	0.96623
CCDC86	90	44	-14.467	0.00079	138	67	-12.139	0.00023	96	49	-4.998	0.04485	101	62	-4.023	0.01288	174	92	0.178	0.54577	96	55	1.305	0.67439	78	39	-7.985	0.01889
CCDC90A	90	61	-9.242	0.00609	138	90	-8.248	0.00301	96	59	-9.276	0.00038	101	51	-1.908	0.16831	174	65	0.165	0.5367	96	53	-4.598	0.06164	78	35	-0.195	0.47924
CCDC92	90	38	-1.478	0.37215	138	53	0.639	0.56739	96	51	-2.721	0.16895	101	56	-1.734	0.17871	174	83	-0.877	0.28682	96	41	-8.143	0.00909	78	26	-1.17	0.39961
CCL2	90	52	-7.202	0.0367	138	77	-18.376	1e-05	96	47	1.585	0.70258	101	50	0.256	0.55125	174	108	0.564	0.65967	96	54	4.106	0.92113	78	56	3.357	0.85361
CCNA1	90	62	-6.364	0.0401	138	80	-5.208	0.04863	96	59	-0.87	0.37166	101	74	3.433	0.98134	174	82	0.763	0.68597	96	39	3.894	0.87126	78	47	-13.057	0.00011
CCNA2	90	60	-26.242	1e-05	138	95	-24.808	1e-05	96	53	-1.461	0.30126	101	80	-10.586	1e-05	174	123	-10.412	1e-05	96	78	-15.228	1e-05	78	40	-25.709	1e-05
CCNB1	90	46	-20.352	1e-05	138	79	-19.224	1e-05	96	36	1.168	0.6346	101	57	-0.864	0.31676	174	89	-4.72	0.00141	96	62	-5.285	0.02612	78	35	-10.428	0.00633
CCNB2	90	43	-14.559	0.00065	138	67	-2.248	0.25823	96	29	-2.191	0.28009	101	69	-7.534	2e-05	174	80	-6.984	4e-05	96	51	-3.573	0.11892	78	25	-4.333	0.18055
CCND1	90	51	-9.11	0.01279	138	76	-24.686	1e-05	96	74	-10.093	1e-05	101	70	-8.112	1e-05	174	104	-8.782	1e-05	96	72	-9.185	0.00016	78	28	0.239	0.51996
CCND3	90	60	-25.928	1e-05	138	70	-16.809	1e-05	96	51	-12.989	2e-05	101	63	-12.161	1e-05	174	91	-12.106	1e-05	96	54	-15.499	1e-05	78	51	-8.172	0.0072
CCNE2	90	62	-19.359	1e-05	138	95	-16.746	1e-05	96	66	-3.742	0.06659	101	66	-8.035	1e-05	174	119	-10.333	1e-05	96	63	-14.7	1e-05	78	45	-23.602	1e-05
CCNF	90	63	-24.231	1e-05	138	104	-18.06	1e-05	96	70	-5.666	0.0101	101	63	-7.899	1e-05	174	112	-8.867	1e-05	96	66	-14.771	1e-05	78	48	-23.016	1e-05
CCNH	90	38	2.981	0.73915	138	84	-8.044	0.00476	96	50	-0.418	0.44147	101	62	-10.378	1e-05	174	85	-5.534	0.00033	96	45	-7.543	0.01072	78	50	-7.666	0.01171
CCP110	90	45	-12.882	0.00184	138	85	-15.518	1e-05	96	68	-4.411	0.03781	101	76	-8.577	1e-05	174	118	-5.7	2e-05	96	71	-13.227	1e-05	78	33	-11.449	0.00435
CD320	90	60	-10.034	0.00346	138	92	-15.891	1e-05	96	71	-6.388	0.00424	101	31	-3.475	0.08994	174	104	-8.902	1e-05	96	66	-10.795	2e-05	78	36	4.244	0.85648
CD40	90	39	1.626	0.63895	138	56	4.657	0.89313	96	46	2.232	0.77211	101	42	1.413	0.74529	174	89	0.219	0.55586	96	51	-7.199	0.00961	78	46	3.212	0.81874
CD44	90	32	-1.555	0.37908	138	55	-2.266	0.27448	96	44	1.362	0.67098	101	31	0.535	0.5852	174	54	-0.251	0.44728	96	38	-1.447	0.33858	78	34	1.615	0.65413
CD58	90	39	-9.199	0.02465	138	77	-6.073	0.03057	96	53	-6.003	0.01779	101	50	-3.021	0.06736	174	83	-11.374	1e-05	96	56	-5.677	0.02447	78	34	-3.232	0.21319
