	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
AANAT	90	37	14.713	0.99834	138	66	-1.124	0.37258	96	54	3.783	0.913	101	40	-0.038	0.49374	174	100	0.152	0.54424	96	59	-4.478	0.05332	78	57	2.308	0.76393
AARS	90	57	-7.914	0.02032	138	77	-21.418	1e-05	96	37	-3.222	0.16544	101	64	-5.363	0.00168	174	105	-6.727	2e-05	96	51	-8.319	0.00354	78	45	-16.708	1e-05
AARSD1	90	43	-14.292	0.00087	138	76	-3.336	0.15009	96	67	-17.299	1e-05	101	76	-5.033	0.0011	174	118	-8.479	1e-05	96	60	-7.559	0.00343	78	38	-8.305	0.01716
AASDHPPT	90	42	-21.926	1e-05	138	95	-10.49	0.00015	96	59	-10.06	0.00016	101	61	-7.944	5e-05	174	94	-3.51	0.00977	96	56	-7.119	0.00679	78	28	-24.741	1e-05
AASS	90	53	-18.194	1e-05	138	73	-15.917	1e-05	96	44	-1.074	0.36522	101	28	-0.022	0.49569	174	106	1.153	0.79562	96	68	-7.429	0.0021	78	43	-8.719	0.00911
AATF	90	43	-13.696	0.0013	138	67	-8.884	0.00549	96	75	-11.738	1e-05	101	52	-0.907	0.32047	174	110	-6.336	2e-05	96	43	-4.739	0.07454	78	39	-3.991	0.14716
AATK	90	44	-4.171	0.16941	138	47	3.717	0.818	96	52	-7.553	0.00435	101	24	-1.153	0.3367	174	85	-2.243	0.07636	96	31	-3.322	0.19366	78	16	-2.02	0.36196
ABAT	90	46	-6.516	0.06395	138	53	1.083	0.61239	96	48	0.597	0.5821	101	52	-1.846	0.17189	174	81	-2.082	0.09905	96	39	-5.957	0.04441	78	39	-0.747	0.42035
ABCA1	90	37	0.579	0.5495	138	55	-1.165	0.37947	96	36	-2.51	0.22965	101	39	0.081	0.51351	174	100	-1.583	0.13456	96	37	-1.077	0.37864	78	41	0.354	0.53916
ABCA11P	90	40	-3.991	0.18979	138	86	-3.813	0.10438	96	57	-7.844	0.00235	101	46	-1.244	0.27224	174	87	-2.083	0.08936	96	65	-2.796	0.14768	78	53	-1.778	0.29145
ABCA12	90	35	-5.624	0.12359	138	61	5.029	0.91813	96	64	-4.357	0.04319	101	49	-4.035	0.02352	174	72	-2.262	0.09412	96	48	0.588	0.57626	78	48	-1.237	0.35931
ABCA2	90	41	4.17	0.82464	138	43	0.019	0.50381	96	36	-6.826	0.0259	101	26	-1.385	0.30428	174	55	-0.672	0.36526	96	43	0.864	0.60579	78	24	2.099	0.66894
ABCA3	90	41	-1.018	0.40921	138	58	-4.566	0.10816	96	51	-8.805	0.00143	101	50	0.131	0.52832	174	88	-7.489	2e-05	96	38	-0.131	0.484	78	34	5.268	0.90018
ABCA4	90	41	3.716	0.79736	138	50	-0.294	0.46957	96	43	2.728	0.81128	101	25	0.897	0.63136	174	84	0.37	0.59366	96	47	5.174	0.95006	78	43	4.103	0.871
ABCA5	90	39	-3.082	0.25055	138	58	-1.553	0.33861	96	36	-1.725	0.30607	101	45	2.673	0.89788	174	58	-0.936	0.30795	96	36	-1.593	0.32284	78	32	3.3	0.78336
ABCA6	90	58	-1.267	0.36871	138	56	6.401	0.95514	96	47	-0.611	0.41886	101	47	0.214	0.54264	174	97	1.45	0.83905	96	34	4.036	0.8636	78	54	-2.498	0.21749
ABCA7	90	29	-9.502	0.04108	138	47	-2.863	0.2413	96	25	-1.694	0.33464	101	22	-2.664	0.18258	174	57	-2.594	0.08845	96	28	-0.228	0.4756	78	21	-0.107	0.49097
ABCA8	90	49	-2.795	0.24833	138	72	4.263	0.90096	96	47	1.014	0.63464	101	45	0.712	0.63664	174	108	-2.63	0.03022	96	34	3.051	0.79847	78	36	0.675	0.5678
ABCB1	90	65	-9.55	0.00363	138	72	-3.966	0.11826	96	29	9.083	0.98855	101	49	-6.597	0.00081	174	78	1.344	0.79641	96	47	-4.985	0.0564	78	39	-3.221	0.19822
ABCB11	90	50	5.552	0.91361	138	65	2.898	0.79601	96	34	0.603	0.56964	101	33	-0.073	0.4858	174	93	2.165	0.9263	96	44	-3.859	0.11589	78	38	6.45	0.95106
ABCB4	90	57	-14.267	0.00011	138	79	-20.926	1e-05	96	34	4.84	0.91394	101	53	-1.903	0.16128	174	83	-1.512	0.16849	96	55	-5.065	0.04071	78	44	0.694	0.57442
ABCB6	90	41	-12.491	0.00383	138	43	-15.559	0.00023	96	38	-8.318	0.00771	101	63	0.221	0.54985	174	89	-10.701	1e-05	96	32	0.84	0.5914	78	46	-7.458	0.01776
ABCB7	90	30	-0.825	0.43512	138	53	0.492	0.55197	96	45	1.277	0.6659	101	36	-0.103	0.48526	174	58	-1.004	0.29526	96	46	-0.769	0.4027	78	31	4.553	0.85531
ABCB8	90	57	-18.443	3e-05	138	63	-1.989	0.28849	96	55	-10.314	0.00013	101	45	-2.474	0.11999	174	93	-5.954	4e-05	96	44	-0.336	0.45804	78	40	-16.08	5e-05
ABCB9	90	45	2.652	0.73482	138	57	-0.925	0.39925	96	40	-1.944	0.27438	101	52	-1.745	0.18451	174	71	-5.447	0.00141	96	56	-2.638	0.17807	78	24	-4.333	0.18607
ABCC1	90	33	1.819	0.64178	138	58	-2.233	0.27255	96	50	-6.624	0.01209	101	42	-0.471	0.41414	174	76	0.923	0.71284	96	39	-1.444	0.33597	78	36	-0.31	0.4674
ABCC10	90	38	-0.23	0.47922	138	54	-0.241	0.47435	96	37	1.567	0.68129	101	33	-0.247	0.45722	174	71	-0.044	0.48901	96	30	0.698	0.57094	78	38	4.992	0.90119
ABCC2	90	50	-12.083	0.00202	138	62	-14.955	4e-05	96	51	-4.028	0.07968	101	70	-4.424	0.00486	174	83	-0.523	0.36912	96	47	-2.711	0.19244	78	43	-4.605	0.10273
ABCC3	90	39	-2.592	0.28504	138	66	1.344	0.65298	96	40	0.225	0.53036	101	48	-2.051	0.15544	174	55	-2.916	0.06927	96	33	2.941	0.78746	78	27	1.868	0.66173
ABCC4	90	42	-11.67	0.0052	138	63	-4.989	0.0811	96	60	-11.802	1e-05	101	32	-2.653	0.14228	174	82	-2.301	0.07651	96	29	-2.942	0.2282	78	37	-0.052	0.49251
ABCC5	90	59	-15.396	3e-05	138	97	0.944	0.62785	96	35	-4.129	0.11491	101	46	-1.295	0.26454	174	70	-2.518	0.073	96	68	-3.765	0.07358	78	50	-6.827	0.02146
ABCC6	90	49	1.258	0.6231	138	61	-3.011	0.19813	96	36	-0.848	0.40309	101	41	-6.126	0.00428	174	96	-0.607	0.34061	96	47	2.267	0.76927	78	41	5.543	0.93159
ABCC8	90	49	-4.77	0.12341	138	69	-0.795	0.40773	96	44	-1.309	0.33665	101	20	-0.412	0.44395	174	58	-0.647	0.36292	96	53	0.995	0.63155	78	42	0.409	0.54193
ABCC9	90	33	4.22	0.80113	138	57	1.458	0.6521	96	41	-0.577	0.42613	101	34	1.919	0.7909	174	81	1.101	0.75704	96	44	2.43	0.77499	78	39	6.71	0.95903
ABCD1	90	33	1.891	0.64711	138	53	2.748	0.76315	96	38	-9.167	0.00404	101	41	-0.844	0.34517	174	90	-1.087	0.23534	96	36	-1.833	0.29918	78	38	0.975	0.6016
ABCD2	90	54	-2.174	0.28777	138	67	0.823	0.5931	96	47	-1.069	0.35928	101	52	-1.213	0.26647	174	86	-0.203	0.4467	96	68	-5.774	0.01385	78	52	-2.185	0.2523
ABCD3	90	45	-6.239	0.07222	138	85	-7.856	0.00564	96	50	-8.494	0.00221	101	75	-4.57	0.0025	174	117	-6.17	1e-05	96	55	-9.951	0.0004	78	38	-21.255	1e-05
ABCD4	90	31	-0.701	0.44617	138	47	-3.216	0.21527	96	46	-3.035	0.15868	101	49	2.05	0.84859	174	68	1.853	0.85418	96	33	-6.854	0.03657	78	26	-2.239	0.3122
ABCE1	90	59	-19.869	1e-05	138	96	-26.703	1e-05	96	62	-17.639	1e-05	101	71	-7.953	1e-05	174	112	-8.627	1e-05	96	66	-13.15	1e-05	78	41	-19.873	1e-05
ABCF1	90	43	-10.908	0.00772	138	63	8.588	0.99131	96	51	-0.662	0.40784	101	54	-5.185	0.00462	174	87	-4.228	0.00352	96	56	3.987	0.91672	78	53	-8.529	0.00485
ABCF2	90	55	-23.166	1e-05	138	94	-17.879	1e-05	96	70	-17.272	1e-05	101	78	-6.21	5e-05	174	95	-10.274	1e-05	96	71	-9.481	0.0001	78	38	-21.285	1e-05
ABCF3	90	54	-9.385	0.00879	138	66	-2.885	0.20395	96	39	0.527	0.56471	101	59	-0.917	0.30925	174	75	-7.028	8e-05	96	52	-7.084	0.00964	78	22	0.977	0.57814
ABCG1	90	35	0.032	0.50275	138	56	-1.712	0.32398	96	33	1.4	0.65475	101	32	-2.194	0.18617	174	67	0.53	0.62118	96	41	1.597	0.68485	78	20	1.706	0.6301
ABCG2	90	51	-0.434	0.45497	138	72	-1.811	0.29358	96	41	-11.058	0.00068	101	43	-1.458	0.24634	174	80	-1.311	0.20532	96	43	-3.476	0.14546	78	33	-0.866	0.41618
ABCG4	90	47	-3.437	0.20507	138	64	-2.918	0.20525	96	43	-1.939	0.2672	101	61	-2.778	0.06315	174	89	-1.9	0.10774	96	54	3.314	0.87302	78	24	-10.32	0.02258
ABCG5	90	49	-1.286	0.37898	138	59	-12.856	0.0003	96	33	0.794	0.58827	101	55	2.233	0.88075	174	110	-0.353	0.398	96	52	-2.661	0.1849	78	44	-0.12	0.48548
ABHD10	90	49	-19.538	1e-05	138	75	-19.824	1e-05	96	64	-10.904	1e-05	101	64	-7.028	6e-05	174	108	-6.55	1e-05	96	56	-11.325	8e-05	78	37	-7.509	0.02887
ABHD11	90	42	-0.93	0.41733	138	53	-1.499	0.34898	96	61	-8.713	0.00053	101	52	-2.332	0.11672	174	63	0.197	0.54343	96	29	3.916	0.83782	78	31	-1.98	0.31951
ABHD14A	90	31	1.514	0.61721	138	46	-3.313	0.2129	96	58	-3.103	0.12333	101	52	-3.981	0.02244	174	89	-5.899	0.00013	96	40	-3.076	0.17975	78	30	-7.358	0.04784
ABHD2	90	50	-11.067	0.00415	138	80	-5.618	0.03843	96	66	-7.029	0.00278	101	60	-3.426	0.03128	174	81	-4.686	0.0027	96	51	-1.666	0.28839	78	26	-19.9	9e-05
ABHD3	90	55	-14.048	0.00021	138	74	-8.674	0.0044	96	53	-2.416	0.19541	101	53	-7.267	0.00036	174	112	-5.498	9e-05	96	63	-5.513	0.0211	78	50	-15.719	1e-05
ABHD4	90	46	-4.311	0.15616	138	53	-3.245	0.19984	96	17	-0.873	0.42509	101	45	-4.267	0.02374	174	77	-0.572	0.36268	96	28	-0.034	0.4953	78	27	-3.821	0.20196
ABHD5	90	50	-22.728	1e-05	138	91	-14.929	1e-05	96	61	-8.8	0.00048	101	66	-9.34	1e-05	174	103	-9.027	1e-05	96	57	-10.579	0.00017	78	37	-19.344	1e-05
ABHD6	90	52	-2.167	0.29407	138	102	-14.457	1e-05	96	44	-3.693	0.11792	101	63	-5.685	0.00088	174	99	1.253	0.80585	96	56	-6.744	0.00973	78	53	-1.046	0.37141
ABHD8	90	52	-8.939	0.01313	138	73	-9.663	0.002	96	23	1.065	0.60029	101	39	1.517	0.75159	174	74	-1.368	0.20745	96	38	-1.644	0.31741	78	46	4.566	0.90126
ABI1	90	40	8.523	0.96942	138	61	-3.34	0.17341	96	28	0.392	0.54594	101	51	-7.169	0.00035	174	75	3.284	0.97436	96	38	7.653	0.984	78	36	1.237	0.62212
ABI2	90	54	-15.601	7e-05	138	81	-6.981	0.01311	96	56	-6.027	0.01472	101	66	-2.588	0.06962	174	96	-10.374	1e-05	96	48	-2.328	0.22671	78	48	-15.232	3e-05
ABI3BP	90	53	-2.998	0.22427	138	86	-2.898	0.17006	96	49	-0.528	0.4303	101	64	0.386	0.58394	174	119	-0.84	0.26166	96	48	0.457	0.55946	78	53	2.997	0.818
ABL1	90	57	-5.133	0.08973	138	50	-14.223	0.00037	96	52	-1.186	0.33477	101	48	-3.949	0.02903	174	65	-2.818	0.05987	96	45	-2.385	0.22859	78	48	-7.445	0.01595
ABL2	90	49	-10.248	0.00722	138	65	-3.425	0.16412	96	55	-5.874	0.01678	101	39	0.315	0.55547	174	107	-1.024	0.23038	96	36	0.976	0.60456	78	55	2.218	0.75318
ABLIM1	90	39	-6.333	0.08506	138	60	0.968	0.6055	96	48	2.491	0.80364	101	60	-2.362	0.09762	174	62	-0.526	0.38756	96	37	-0.991	0.38778	78	29	-2.866	0.25563
ABLIM3	90	48	2.194	0.70383	138	55	0.851	0.58953	96	66	-5.622	0.01275	101	33	0.079	0.51102	174	68	0.655	0.64455	96	54	1.308	0.67527	78	40	3.035	0.79027
ABO	90	34	-4.841	0.16217	138	62	3.506	0.83555	96	57	-4.968	0.03395	101	36	1.082	0.68484	174	70	-2.936	0.04622	96	45	0.9	0.61289	78	32	0.766	0.57184
ABP1	90	55	-3.074	0.21267	138	67	0.294	0.53476	96	58	2.052	0.77812	101	38	-3.0	0.09722	174	94	-2.244	0.06512	96	54	-4.37	0.06906	78	50	-4.818	0.07466
ABR	90	53	-10.512	0.00425	138	70	-4.194	0.10788	96	50	-2.109	0.23334	101	48	0.337	0.56841	174	93	-1.516	0.15359	96	55	-9.077	0.00107	78	43	-0.798	0.41186
ABT1	90	45	-19.654	1e-05	138	90	-12.47	3e-05	96	54	-0.675	0.40087	101	65	-10.324	1e-05	174	117	-9.87	1e-05	96	57	-6.46	0.01223	78	37	-17.8	1e-05
ABTB2	90	35	-2.241	0.32126	138	65	0.084	0.51063	96	66	-2.178	0.19295	101	62	-4.505	0.00704	174	92	-0.592	0.34741	96	53	-0.809	0.39277	78	30	2.192	0.69451
ACAA1	90	33	-7.008	0.08261	138	61	0.798	0.58759	96	41	-9.721	0.0019	101	39	-1.534	0.24494	174	89	-4.805	0.00127	96	38	0.748	0.58727	78	23	-6.556	0.0981
ACAA2	90	44	3.484	0.79104	138	59	4.092	0.86835	96	56	-10.786	9e-05	101	41	-2.49	0.12875	174	74	0.582	0.63759	96	28	0.965	0.59444	78	49	-2.58	0.22399
ACACA	90	50	-17.424	5e-05	138	80	-6.219	0.02464	96	64	-14.947	1e-05	101	68	-9.153	1e-05	174	99	-10.033	1e-05	96	40	-4.154	0.11017	78	41	-17.658	1e-05
ACACB	90	44	-2.087	0.31585	138	71	2.804	0.80133	96	52	-0.814	0.38577	101	51	-0.336	0.4331	174	82	-1.506	0.17183	96	49	-8.915	0.00235	78	32	3.187	0.77539
ACAD10	90	38	-4.036	0.19139	138	48	-0.518	0.44913	96	30	-4.253	0.12615	101	45	-1.687	0.20831	174	57	0.658	0.63789	96	28	-3.501	0.19142	78	19	-2.228	0.3392
ACAD8	90	44	-12.421	0.00278	138	75	2.385	0.76852	96	40	-1.319	0.34296	101	42	1.356	0.73916	174	94	0.368	0.5988	96	49	-4.623	0.0667	78	35	-16.076	9e-05
ACADL	90	40	0.103	0.51064	138	78	-0.592	0.42584	96	71	-8.244	0.0004	101	35	0.499	0.58455	174	88	-5.03	0.00087	96	42	-1.448	0.32762	78	39	2.429	0.7385
ACADM	90	60	-0.901	0.40334	138	78	-2.1	0.25375	96	57	-0.639	0.40245	101	54	-1.07	0.28488	174	107	-2.826	0.02219	96	45	-4.584	0.07749	78	49	-8.965	0.00485
ACADS	90	42	-3.449	0.21928	138	59	3.586	0.83722	96	46	-2.779	0.17967	101	49	0.055	0.51226	174	63	-0.689	0.35037	96	49	1.94	0.73767	78	24	-2.788	0.27936
ACADSB	90	31	-2.473	0.31391	138	54	-6.952	0.03669	96	40	0.863	0.61009	101	47	-1.003	0.31156	174	79	-0.103	0.47243	96	56	5.078	0.96032	78	32	5.005	0.88072
ACADVL	90	39	-3.213	0.24146	138	37	-3.133	0.24896	96	25	-0.242	0.47469	101	42	0.257	0.54898	174	75	-1.449	0.19126	96	28	-1.037	0.39516	78	29	-0.828	0.4211
ACAN	90	38	2.142	0.67816	138	67	-0.069	0.49407	96	44	2.646	0.80351	101	43	0.139	0.5256	174	89	2.351	0.93589	96	47	3.397	0.86331	78	40	3.73	0.83956
ACAP1	90	52	-14.334	0.00031	138	50	3.183	0.78767	96	47	-1.35	0.3246	101	42	-1.142	0.29761	174	73	-0.506	0.38232	96	39	0.947	0.61097	78	20	-1.897	0.35983
ACAP2	90	26	4.011	0.76465	138	66	-7.624	0.01529	96	28	1.727	0.68038	101	46	-2.336	0.13002	174	98	1.119	0.78013	96	51	-0.35	0.45438	78	41	-3.011	0.20833
ACAT1	90	43	-2.706	0.26879	138	64	-0.101	0.49016	96	61	-7.001	0.00395	101	48	-1.96	0.16631	174	80	-0.132	0.46621	96	53	-4.124	0.0806	78	28	-7.876	0.0431
ACAT2	90	42	-15.676	0.0003	138	63	-10.142	0.0023	96	55	-7.961	0.00253	101	47	-1.601	0.21585	174	98	-10.365	1e-05	96	51	-9.684	0.00083	78	33	-11.87	0.00328
ACBD3	90	37	2.822	0.72728	138	79	-5.262	0.04897	96	45	-0.781	0.40029	101	40	-3.751	0.05003	174	101	-4.627	0.00084	96	41	1.227	0.64438	78	27	1.203	0.60631
ACBD4	90	28	2.587	0.68804	138	41	-2.654	0.27132	96	34	-0.542	0.43752	101	27	0.225	0.53244	174	52	0.126	0.52643	96	41	0.736	0.5883	78	19	-1.088	0.41887
ACCN1	90	43	3.111	0.76268	138	73	6.943	0.98196	96	57	0.127	0.51496	101	37	-4.451	0.03121	174	84	2.212	0.92011	96	48	-3.036	0.16369	78	42	-0.803	0.41251
ACCN2	90	56	-8.361	0.01511	138	76	-3.254	0.15594	96	52	-5.249	0.03266	101	60	-3.667	0.02318	174	93	-4.135	0.0035	96	59	-4.822	0.04129	78	34	-2.578	0.26342
ACCN3	90	48	-8.389	0.02252	138	35	0.227	0.52014	96	40	0.819	0.60488	101	39	2.036	0.81806	174	85	1.865	0.88222	96	47	-1.15	0.35797	78	31	-1.264	0.38148
ACCN4	90	30	0.885	0.56769	138	55	4.029	0.85449	96	49	3.634	0.89436	101	41	0.509	0.59002	174	66	0.426	0.59533	96	41	1.833	0.70969	78	32	3.301	0.78345
ACD	90	52	0.116	0.51242	138	74	-1.821	0.28736	96	75	-10.885	1e-05	101	44	-0.411	0.42276	174	78	0.164	0.53989	96	51	-4.462	0.06921	78	51	-5.464	0.05075
ACE	90	53	5.61	0.92308	138	43	0.188	0.52007	96	44	-0.298	0.4621	101	20	2.48	0.79171	174	86	-0.93	0.27253	96	43	6.373	0.97193	78	56	-4.066	0.09984
ACE2	90	47	-11.565	0.00343	138	70	-5.143	0.06473	96	52	-10.248	0.00029	101	46	-8.516	9e-05	174	96	-4.935	0.00065	96	70	-5.746	0.01259	78	37	-2.656	0.24567
ACHE	90	41	-4.811	0.14053	138	60	4.151	0.87335	96	57	-0.316	0.44882	101	46	-0.566	0.38922	174	75	-0.175	0.45743	96	46	1.408	0.67341	78	29	1.509	0.63565
ACIN1	90	45	-9.966	0.01066	138	59	1.712	0.68326	96	49	-0.346	0.45559	101	58	-2.344	0.10266	174	91	-4.475	0.00191	96	61	-4.169	0.06391	78	39	1.959	0.69676
ACLY	90	57	-19.201	2e-05	138	69	-6.902	0.02143	96	62	-15.84	1e-05	101	47	-9.008	5e-05	174	96	-9.097	1e-05	96	42	-3.16	0.16874	78	31	-21.395	1e-05
ACN9	90	52	-19.325	1e-05	138	101	-16.133	1e-05	96	66	-9.415	8e-05	101	59	-9.888	1e-05	174	106	-6.331	2e-05	96	70	-12.337	1e-05	78	35	-24.374	1e-05
ACO1	90	51	-13.568	0.00047	138	46	-4.453	0.14071	96	54	-12.117	3e-05	101	53	-10.231	1e-05	174	116	-4.502	0.00052	96	65	-5.398	0.02211	78	32	-16.501	0.0002
ACO2	90	40	4.996	0.86683	138	55	3.209	0.80045	96	42	4.884	0.93739	101	53	-0.294	0.43987	174	94	-1.665	0.13003	96	37	2.567	0.76498	78	41	4.657	0.89477
ACOT11	90	41	-1.365	0.37898	138	64	-1.036	0.38607	96	50	-6.828	0.01012	101	50	-0.059	0.49063	174	76	0.263	0.56477	96	37	3.84	0.85989	78	40	-1.171	0.37645
ACOT13	90	37	1.833	0.65358	138	45	-2.124	0.30357	96	26	3.738	0.8244	101	43	-5.058	0.01185	174	78	-1.833	0.13043	96	41	1.341	0.65677	78	34	1.988	0.68707
ACOT7	90	59	-20.798	1e-05	138	99	-14.713	1e-05	96	73	-9.375	6e-05	101	60	-9.953	1e-05	174	110	-8.964	1e-05	96	66	-12.878	1e-05	78	36	-23.437	1e-05
ACOT8	90	35	9.344	0.96968	138	64	-6.28	0.03833	96	38	1.719	0.70077	101	35	-1.669	0.2382	174	79	-0.88	0.29219	96	47	1.259	0.66067	78	29	-4.285	0.16417
ACOT9	90	37	-10.189	0.01746	138	39	2.687	0.72741	96	67	-12.894	1e-05	101	38	-2.421	0.14454	174	63	-5.752	0.00152	96	33	-4.797	0.10213	78	25	1.539	0.62806
ACOX1	90	37	-2.797	0.2753	138	67	-0.459	0.4476	96	40	-13.795	5e-05	101	49	-4.69	0.01149	174	109	-6.926	1e-05	96	42	-5.83	0.0414	78	37	-8.895	0.01252
ACOX2	90	40	1.531	0.63489	138	58	-2.4	0.25752	96	33	-4.398	0.10924	101	38	2.666	0.87824	174	75	-0.074	0.48219	96	41	-8.952	0.0049	78	33	0.998	0.5964
ACOX3	90	46	-14.547	0.00047	138	72	-6.539	0.02462	96	54	-11.763	6e-05	101	62	-0.683	0.35	174	88	-9.346	1e-05	96	60	-5.526	0.02339	78	38	-4.228	0.13643
ACOXL	90	41	1.624	0.64256	138	59	-0.264	0.47451	96	52	-1.592	0.28387	101	47	0.765	0.64773	174	88	-0.887	0.28188	96	57	2.991	0.85296	78	47	0.54	0.5618
ACP1	90	54	-11.066	0.00284	138	90	-11.765	6e-05	96	47	-4.535	0.0656	101	54	-3.324	0.04305	174	86	-3.657	0.01015	96	44	-5.89	0.0362	78	45	-3.192	0.18368
ACP2	90	44	-3.482	0.21189	138	52	-2.595	0.2531	96	38	3.168	0.83119	101	41	0.416	0.57406	174	97	-1.233	0.19747	96	51	-0.829	0.39037	78	42	-0.43	0.45181
ACP5	90	37	6.239	0.90643	138	80	-1.901	0.27092	96	52	1.042	0.64353	101	44	1.374	0.74485	174	84	-0.395	0.39873	96	35	-0.661	0.42734	78	31	-2.827	0.25259
ACP6	90	41	-0.061	0.49402	138	77	-2.222	0.24245	96	40	3.629	0.87131	101	53	0.395	0.58086	174	94	1.463	0.83789	96	53	-1.191	0.3429	78	32	-3.04	0.23653
ACPP	90	30	-4.709	0.18422	138	57	-0.799	0.41265	96	29	0.022	0.50338	101	39	-1.451	0.25719	174	83	-0.655	0.33827	96	42	1.674	0.69155	78	35	3.724	0.82352
ACR	90	36	11.4	0.98952	138	62	0.136	0.51337	96	52	1.456	0.69672	101	51	0.627	0.62601	174	102	-0.592	0.33733	96	56	-1.258	0.32863	78	55	3.127	0.8329
ACRV1	90	38	3.151	0.75083	138	76	-1.38	0.33069	96	53	4.727	0.95331	101	62	-1.663	0.17505	174	91	0.814	0.70537	96	76	-8.118	0.00053	78	41	4.33	0.87784
ACSBG1	90	47	5.868	0.91883	138	74	4.243	0.90323	96	40	-0.753	0.40968	101	43	-4.268	0.02648	174	106	0.495	0.63897	96	42	-1.733	0.29706	78	39	-4.895	0.1001
ACSBG2	90	53	2.215	0.71555	138	68	1.935	0.71413	96	42	0.407	0.55289	101	44	0.6	0.61336	174	88	-0.345	0.41291	96	62	1.389	0.69647	78	50	-3.155	0.1727
ACSF2	90	41	-8.858	0.02704	138	48	-0.847	0.41693	96	36	-3.06	0.18421	101	42	-6.014	0.00478	174	76	-5.345	0.00091	96	30	-3.151	0.20948	78	24	2.074	0.66684
ACSL1	90	50	-25.101	1e-05	138	72	-1.084	0.37329	96	52	-7.709	0.00378	101	61	-0.717	0.34489	174	102	-9.13	1e-05	96	47	-6.085	0.02753	78	26	-15.029	0.00169
ACSL3	90	51	-16.403	5e-05	138	70	-7.05	0.01933	96	62	-4.978	0.02851	101	46	-3.797	0.03643	174	84	-4.73	0.00194	96	38	1.543	0.67442	78	37	-5.185	0.0933
