	empirical_pVal (A375)	empirical_pVal (A549)	empirical_pVal (BT20)	empirical_pVal (LNCAP)	empirical_pVal (MCF7)	empirical_pVal (MDAMB231)	empirical_pVal (PC3)	Ave_pVal
LAGE3	0.09363	0.01569	1e-05	1e-05	1e-05	0.34233	0.00023	0.0645585714286
MAST2	1e-05	0.0161	1e-05	0.0945	1e-05	0.34422	0.00268	0.0653614285714
PRKAG2	3e-05	0.00433	0.06373	0.00018	3e-05	0.3937	0.00108	0.0661542857143
NFIL3	0.00588	0.01622	6e-05	1e-05	0.00327	0.453	1e-05	0.06835
SLC35B1	1e-05	1e-05	1e-05	0.00036	1e-05	0.35214	0.12591	0.06835
TRAP1	0.0004	0.18203	1e-05	0.24405	1e-05	0.05431	1e-05	0.0686885714286
FAM20B	0.00076	0.22624	1e-05	0.00024	1e-05	0.25871	1e-05	0.0694257142857
DNAJB1	1e-05	0.00021	0.43601	1e-05	1e-05	0.01358	0.03678	0.0695157142857
CENPE	1e-05	1e-05	0.48758	1e-05	1e-05	1e-05	1e-05	0.0696628571429
DUSP14	0.03243	0.00333	0.09893	1e-05	1e-05	0.00155	0.3524	0.0698085714286
MICALL1	0.06524	0.00253	0.41712	0.00268	1e-05	0.00533	5e-05	0.0704228571429
PRUNE	0.00052	0.00827	0.39028	1e-05	1e-05	0.08946	0.0049	0.0704928571429
ATMIN	0.00382	0.04166	0.26453	0.03741	1e-05	0.01273	0.13347	0.0705185714286
SPAG4	0.00012	0.03457	0.02128	0.38084	0.01157	0.04632	0.00124	0.0708485714286
ACLY	0.00087	0.35341	1e-05	7e-05	1e-05	0.15005	3e-05	0.0720642857143
PSME2	0.00044	0.04884	0.05749	1e-05	1e-05	0.38822	0.00974	0.0721071428571
PCMT1	0.01699	2e-05	0.00207	0.01613	5e-05	0.47087	1e-05	0.0723057142857
ALDOA	0.09122	0.04229	1e-05	0.14712	0.20805	0.0151	0.00273	0.07236
RALB	0.00499	0.01037	1e-05	1e-05	1e-05	0.01052	0.50204	0.0754214285714
DDIT4	7e-05	5e-05	0.00013	1e-05	0.52486	0.00637	1e-05	0.0759285714286
HADH	1e-05	0.00126	0.00044	0.0028	0.00481	0.52307	1e-05	0.0760571428571
CCND1	0.01279	1e-05	1e-05	1e-05	1e-05	0.00016	0.51996	0.0761357142857
KIAA0100	0.00701	0.51832	0.00014	2e-05	1e-05	0.01111	1e-05	0.07666
TOP2A	1e-05	1e-05	0.53929	1e-05	1e-05	2e-05	1e-05	0.0770514285714
TRAK2	1e-05	0.16768	0.34184	0.00554	0.01177	0.01929	5e-05	0.0780257142857
NRAS	0.01466	0.03552	5e-05	9e-05	1e-05	0.49446	0.00299	0.0782542857143
ENOSF1	0.02363	3e-05	0.38581	0.01317	0.00619	0.02402	0.09829	0.0787342857143
MOK	0.02273	0.02689	0.04575	0.19947	0.16612	0.07046	0.02283	0.0791785714286
TRAM2	0.36354	0.16769	1e-05	3e-05	0.00882	0.01119	0.0039	0.0793114285714
GFPT1	3e-05	0.00036	3e-05	0.01026	1e-05	0.49707	0.04833	0.0794414285714
CBR3	0.00217	1e-05	0.00682	1e-05	0.00037	5e-05	0.54969	0.0798742857143
ADI1	0.00589	1e-05	0.2485	0.08391	3e-05	0.00492	0.22307	0.0809042857143
PLK1	1e-05	1e-05	0.5714	1e-05	1e-05	1e-05	1e-05	0.0816371428571
HDGFRP3	1e-05	1e-05	0.55897	0.00908	0.00221	0.00152	1e-05	0.0816871428571
TOPBP1	0.34908	0.0001	0.22609	0.00165	0.00824	0.00019	9e-05	0.0836342857143
PDS5A	3e-05	0.00621	0.04494	0.00398	0.25508	0.26764	0.02008	0.0854228571429
ZW10	0.58655	0.00057	0.00071	1e-05	0.01078	0.00019	0.0001	0.0855585714286
PTPN12	0.00074	1e-05	0.05851	0.00027	0.02326	0.0002	0.52032	0.0861871428571
HES1	0.0002	0.00497	0.0538	0.28369	0.09361	0.00273	0.1682	0.0867428571429
ABCB6	0.00117	0.00034	1e-05	0.0007	1e-05	0.60752	0.00082	0.0872242857143
HOXA5	0.26283	0.00212	0.18133	0.06798	0.02625	0.00532	0.06554	0.0873385714286
SMARCD2	0.01191	0.23174	0.17353	0.15613	0.03923	6e-05	0.00021	0.0875442857143
MTF2	1e-05	1e-05	0.00285	0.23773	1e-05	0.0038	0.37241	0.0881171428571
SACM1L	0.00287	0.01252	0.1873	0.12778	1e-05	0.13984	0.1466	0.0881314285714
LYPLA1	0.0387	0.23668	0.01654	0.10007	0.21973	0.00539	0.00596	0.08901
TSPAN3	0.10823	0.08144	0.00019	1e-05	1e-05	0.03226	0.40206	0.0891714285714
SNX11	0.00408	0.53962	0.0001	1e-05	0.02367	0.05931	0.0017	0.0897842857143
RPP38	0.00059	0.02216	0.0001	1e-05	1e-05	0.61539	0.00746	0.0922457142857
IER3	1e-05	0.00027	4e-05	0.0762	1e-05	0.01032	0.55946	0.09233
PIH1D1	0.07644	0.00047	0.11853	0.00325	0.06894	8e-05	0.38827	0.0937114285714
COL1A1	0.0312	0.17096	0.23338	0.09834	1e-05	0.12906	2e-05	0.09471
SYNE2	0.01589	0.01408	0.62122	1e-05	0.00082	0.00015	0.01121	0.0947685714286
PMAIP1	2e-05	1e-05	0.09405	1e-05	0.57685	0.0003	1e-05	0.0958928571429
PSMD10	0.0401	0.00035	0.06671	0.4757	1e-05	0.08979	0.00018	0.09612
HYOU1	0.01404	0.16363	0.07449	0.19934	0.14111	0.00463	0.07606	0.0961857142857
SPTLC2	0.0014	0.00062	0.47985	1e-05	1e-05	0.00512	0.19601	0.0975742857143
RAC2	0.00031	0.43445	0.0283	0.06453	0.00469	0.00036	0.15056	0.0976
MNAT1	1e-05	4e-05	1e-05	3e-05	1e-05	0.6762	0.0095	0.0979714285714
CBR1	1e-05	0.00141	2e-05	2e-05	1e-05	0.6863	2e-05	0.0982557142857
LPGAT1	0.00694	0.6513	1e-05	0.00409	0.02223	0.00478	0.00268	0.0988614285714
AKAP8	5e-05	0.34552	0.02181	0.09398	0.0212	0.20767	0.00195	0.0988828571429
TOMM70A	0.33406	0.00265	0.00031	0.13693	0.08065	0.1384	0.00196	0.09928
CDK6	1e-05	1e-05	0.30334	0.08263	0.04545	0.06141	0.20484	0.09967
SUZ12	1e-05	1e-05	0.18996	1e-05	0.47089	1e-05	0.03681	0.0996714285714
HSPB1	2e-05	0.28201	0.07762	1e-05	0.043	0.29734	0.00013	0.100018571429
GPC1	0.00417	0.00023	0.17341	0.26821	0.16112	0.09537	0.00047	0.100425714286
ARHGEF2	0.00019	0.02036	0.69385	1e-05	0.00019	0.00394	8e-05	0.10266
HSPA4	0.06018	0.19457	0.09366	0.00199	0.15889	0.17227	0.04909	0.104378571429
KIAA1279	0.0002	0.14143	0.27274	0.00697	1e-05	0.20296	0.1105	0.104972857143
TOMM34	0.23647	1e-05	0.32827	0.01703	1e-05	0.00333	0.15406	0.105597142857
IKBKAP	0.08883	0.44275	3e-05	0.00279	6e-05	0.20369	0.00145	0.105657142857
MYC	0.01714	1e-05	0.24641	0.00745	0.33693	0.01156	0.12225	0.105964285714
DUSP3	4e-05	0.15852	0.07791	0.04437	0.06461	0.37923	0.01804	0.106102857143
STMN1	1e-05	1e-05	0.74654	1e-05	1e-05	1e-05	1e-05	0.106657142857
ABL1	0.0872	0.00033	0.33645	0.02879	0.0585	0.22536	0.01561	0.107462857143
DNTTIP2	3e-05	4e-05	0.20391	7e-05	2e-05	0.54783	0.00105	0.107564285714
ZMYM2	0.00014	0.13948	0.26488	0.06074	0.16091	0.05085	0.07986	0.108122857143
CLIC4	0.00011	0.00036	0.25644	1e-05	0.20204	0.03964	0.26041	0.10843
HSD17B10	0.01746	0.00146	2e-05	0.00056	1e-05	0.74102	1e-05	0.108648571429
HOMER2	0.0897	0.01253	7e-05	0.31169	1e-05	0.20178	0.15587	0.110235714286
LAMA3	0.28324	0.02407	0.04175	0.01807	0.00204	0.01327	0.39198	0.110631428571
XPNPEP1	0.06368	0.23714	0.00176	0.4598	1e-05	0.01401	2e-05	0.110917142857
PLOD3	3e-05	0.14955	2e-05	0.38605	1e-05	0.00744	0.23908	0.11174
SMC3	0.00126	2e-05	0.59538	0.07959	0.05083	0.06297	3e-05	0.112868571429
PRSS23	0.05255	0.00091	0.02075	0.00536	1e-05	0.23516	0.47619	0.11299
CDC42	0.01575	0.0554	0.00471	1e-05	1e-05	0.31891	0.39789	0.11324
P4HA2	0.00112	0.63839	0.05463	0.00528	2e-05	0.09503	2e-05	0.113498571429
CGRRF1	0.1488	0.13692	0.04083	0.00063	0.1427	0.28324	0.04524	0.114051428571
TXLNA	0.00022	0.00145	1e-05	0.02177	1e-05	0.01324	0.76678	0.114782857143
ERO1L	1e-05	1e-05	0.08824	3e-05	0.0022	2e-05	0.71764	0.11545
TM9SF2	0.13154	0.01729	0.41175	0.01839	3e-05	0.06501	0.17086	0.11641
YKT6	1e-05	1e-05	0.81498	1e-05	1e-05	1e-05	1e-05	0.116434285714
SCP2	0.64386	2e-05	0.05103	0.01825	0.00024	0.05924	0.04619	0.116975714286
PAFAH1B3	0.03208	0.0382	8e-05	1e-05	1e-05	0.11357	0.63528	0.117032857143
TXNDC9	0.00951	0.00042	0.00029	0.77777	0.04548	0.00122	1e-05	0.119242857143
BLMH	0.00514	0.00018	0.81865	0.00031	1e-05	0.0108	1e-05	0.1193
CSK	1e-05	0.53379	0.27053	0.03105	0.0001	0.00032	6e-05	0.119408571429
CCNB2	0.00065	0.25823	0.28009	2e-05	4e-05	0.11892	0.18055	0.119785714286
KEAP1	0.0077	0.0005	0.2176	0.21513	0.00179	0.3852	0.01341	0.12019
USP6NL	0.58773	0.00035	0.05033	1e-05	0.01285	0.0023	0.18908	0.120378571429
SFN	0.71378	0.00835	1e-05	0.11986	1e-05	0.00297	7e-05	0.120721428571
ELAC2	0.66231	0.02142	0.00216	0.10993	0.01668	0.00318	0.03162	0.121042857143
TEX10	0.021	0.01287	1e-05	0.40307	0.15505	0.04158	0.23412	0.123957142857
PAK6	0.00628	0.70766	0.12593	0.01041	0.00025	0.02152	1e-05	0.12458
RAD51C	1e-05	1e-05	0.00807	0.16266	1e-05	0.70844	3e-05	0.125604285714
CYCS	0.37015	0.01006	1e-05	0.1517	5e-05	0.27562	0.0754	0.126141428571
WFS1	0.06288	0.00132	0.39314	1e-05	1e-05	0.01956	0.40748	0.126342857143
EPB41L2	0.00175	2e-05	0.73065	0.00089	1e-05	0.1537	1e-05	0.126718571429
FASTKD5	1e-05	0.00039	0.1805	0.57104	2e-05	0.13216	0.00433	0.126921428571
TMEM5	0.02083	0.6333	5e-05	1e-05	0.00309	0.00053	0.23352	0.127332857143
OXSR1	0.09863	0.00488	1e-05	0.01692	0.17374	0.03488	0.56301	0.127438571429
